SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-07-01 16:00:24.260997,7fc2552c-bbd5-11ea-a8ff-dca63233ac6b,1,1,1,-54
1,DC:A6:32:33:AC:6C,2020-07-01 16:00:25.004642,7fc2552c-bbd5-11ea-a8ff-dca63233ac6b,1,1,1,-54
2,DC:A6:32:33:AC:6C,2020-07-01 16:00:26.080879,7fc2552c-bbd5-11ea-a8ff-dca63233ac6b,1,1,1,-49
3,DC:A6:32:33:AC:6C,2020-07-01 16:00:28.085943,7fc2552c-bbd5-11ea-a8ff-dca63233ac6b,1,1,1,-49
4,DC:A6:32:33:AC:6C,2020-07-01 16:00:29.120964,7fc2552c-bbd5-11ea-a8ff-dca63233ac6b,1,1,1,-54
5,DC:A6:32:33:AC:6C,2020-07-01 16:00:30.226625,7fc2552c-bbd5-11ea-a8ff-dca63233ac6b,1,1,1,-49
6,DC:A6:32:33:AC:6C,2020-07-01 16:00:31.032151,7fc2552c-bbd5-11ea-a8ff-dca63233ac6b,1,1,1,-49
7,DC:A6:32:33:AC:6C,2020-07-01 16:00:32.548409,7fc2552c-bbd5-11ea-a8ff-dca63233ac6b,1,1,1,-53
8,DC:A6:32:33:AC:6C,2020-07-01 16:00:33.053542,7fc2552c-bbd5-11ea-a8ff-dca63233ac6b,1,1,1,-49
9,DC:A6:32:33:AC:6C,2020-07-01 16:00:35.058665,7fc2552c-bbd5-11ea-a8ff-dca63233ac6b,1,1,1,-49
10,DC:A6:32:33:AC:6C,2020-07-01 16:00:36.003579,7fc2552c-bbd5-11ea-a8ff-dca63233ac6b,1,1,1,-49
11,DC:A6:32:33:AC:6C,2020-07-01 16:00:37.682311,7fc2552c-bbd5-11ea-a8ff-dca63233ac6b,1,1,1,-54
12,DC:A6:32:33:AC:6C,2020-07-01 16:00:38.351156,7fc2552c-bbd5-11ea-a8ff-dca63233ac6b,1,1,1,-53
13,DC:A6:32:33:AC:6C,2020-07-01 16:00:39.138569,7fc2552c-bbd5-11ea-a8ff-dca63233ac6b,1,1,1,-53
14,DC:A6:32:33:AC:6C,2020-07-01 16:00:40.049955,7fc2552c-bbd5-11ea-a8ff-dca63233ac6b,1,1,1,-48
15,DC:A6:32:33:AC:6C,2020-07-01 16:00:41.034927,7fc2552c-bbd5-11ea-a8ff-dca63233ac6b,1,1,1,-54
16,DC:A6:32:33:AC:6C,2020-07-01 16:00:42.325553,7fc2552c-bbd5-11ea-a8ff-dca63233ac6b,1,1,1,-49
17,DC:A6:32:33:AC:6C,2020-07-01 16:00:43.096870,7fc2552c-bbd5-11ea-a8ff-dca63233ac6b,1,1,1,-49
18,DC:A6:32:33:AC:6C,2020-07-01 16:00:44.237515,7fc2552c-bbd5-11ea-a8ff-dca63233ac6b,1,1,1,-49
19,DC:A6:32:33:AC:6C,2020-07-01 16:00:45.125677,7fc2552c-bbd5-11ea-a8ff-dca63233ac6b,1,1,1,-55
20,DC:A6:32:33:AC:6C,2020-07-01 16:00:46.345004,7fc2552c-bbd5-11ea-a8ff-dca63233ac6b,1,1,1,-49
21,DC:A6:32:33:AC:6C,2020-07-01 16:00:47.202488,7fc2552c-bbd5-11ea-a8ff-dca63233ac6b,1,1,1,-49
22,DC:A6:32:33:AC:6C,2020-07-01 16:00:48.267646,7fc2552c-bbd5-11ea-a8ff-dca63233ac6b,1,1,1,-54
23,DC:A6:32:33:AC:6C,2020-07-01 16:00:50.272710,7fc2552c-bbd5-11ea-a8ff-dca63233ac6b,1,1,1,-53
24,DC:A6:32:33:AC:6C,2020-07-01 16:00:51.008195,7fc2552c-bbd5-11ea-a8ff-dca63233ac6b,1,1,1,-49
25,DC:A6:32:33:AC:6C,2020-07-01 16:00:52.650115,7fc2552c-bbd5-11ea-a8ff-dca63233ac6b,1,1,1,-54
26,DC:A6:32:33:AC:6C,2020-07-01 16:00:53.150229,7fc2552c-bbd5-11ea-a8ff-dca63233ac6b,1,1,1,-48
