SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-07-01 16:19:19.658756,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-41
1,DC:A6:32:33:AC:6C,2020-07-01 16:19:20.150344,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-35
2,DC:A6:32:33:AC:6C,2020-07-01 16:19:21.434055,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-39
3,DC:A6:32:33:AC:6C,2020-07-01 16:19:22.352789,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-38
4,DC:A6:32:33:AC:6C,2020-07-01 16:19:23.087776,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-38
5,DC:A6:32:33:AC:6C,2020-07-01 16:19:24.174094,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-35
6,DC:A6:32:33:AC:6C,2020-07-01 16:19:25.456616,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-36
7,DC:A6:32:33:AC:6C,2020-07-01 16:19:26.009053,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-32
8,DC:A6:32:33:AC:6C,2020-07-01 16:19:27.290342,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-38
9,DC:A6:32:33:AC:6C,2020-07-01 16:19:28.024093,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-35
10,DC:A6:32:33:AC:6C,2020-07-01 16:19:29.130979,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-38
11,DC:A6:32:33:AC:6C,2020-07-01 16:19:30.421016,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-35
12,DC:A6:32:33:AC:6C,2020-07-01 16:19:31.126628,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-38
13,DC:A6:32:33:AC:6C,2020-07-01 16:19:32.604187,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-35
14,DC:A6:32:33:AC:6C,2020-07-01 16:19:33.100462,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-35
15,DC:A6:32:33:AC:6C,2020-07-01 16:19:34.017924,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-44
16,DC:A6:32:33:AC:6C,2020-07-01 16:19:36.021085,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-35
17,DC:A6:32:33:AC:6C,2020-07-01 16:19:37.153605,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-43
18,DC:A6:32:33:AC:6C,2020-07-01 16:19:38.094183,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-35
19,DC:A6:32:33:AC:6C,2020-07-01 16:19:39.015460,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-35
20,DC:A6:32:33:AC:6C,2020-07-01 16:19:40.435493,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-32
21,DC:A6:32:33:AC:6C,2020-07-01 16:19:41.420487,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-32
22,DC:A6:32:33:AC:6C,2020-07-01 16:19:42.310484,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-32
23,DC:A6:32:33:AC:6C,2020-07-01 16:19:43.266742,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-35
24,DC:A6:32:33:AC:6C,2020-07-01 16:19:45.271813,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-33
25,DC:A6:32:33:AC:6C,2020-07-01 16:19:46.286753,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-32
26,DC:A6:32:33:AC:6C,2020-07-01 16:19:47.657999,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-43
27,DC:A6:32:33:AC:6C,2020-07-01 16:19:48.100512,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-38
28,DC:A6:32:33:AC:6C,2020-07-01 16:19:49.079312,23d879f0-bbd8-11ea-a2b5-dca63233ac6b,1,1,1,-32
