SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-07-02 12:50:23.306478,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-50
1,DC:A6:32:33:AC:6C,2020-07-02 12:50:25.311112,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-51
2,DC:A6:32:33:AC:6C,2020-07-02 12:50:26.194784,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-49
3,DC:A6:32:33:AC:6C,2020-07-02 12:50:28.199337,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-50
4,DC:A6:32:33:AC:6C,2020-07-02 12:50:29.157520,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-49
5,DC:A6:32:33:AC:6C,2020-07-02 12:50:30.047419,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-49
6,DC:A6:32:33:AC:6C,2020-07-02 12:50:31.356445,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-51
7,DC:A6:32:33:AC:6C,2020-07-02 12:50:32.189610,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-50
8,DC:A6:32:33:AC:6C,2020-07-02 12:50:33.167714,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-47
9,DC:A6:32:33:AC:6C,2020-07-02 12:50:34.085442,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-49
10,DC:A6:32:33:AC:6C,2020-07-02 12:50:35.386491,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-49
11,DC:A6:32:33:AC:6C,2020-07-02 12:50:36.714065,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-49
12,DC:A6:32:33:AC:6C,2020-07-02 12:50:37.006498,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-50
13,DC:A6:32:33:AC:6C,2020-07-02 12:50:39.011851,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-49
14,DC:A6:32:33:AC:6C,2020-07-02 12:50:40.288043,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-49
15,DC:A6:32:33:AC:6C,2020-07-02 12:50:41.046120,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-49
16,DC:A6:32:33:AC:6C,2020-07-02 12:50:42.358185,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-47
17,DC:A6:32:33:AC:6C,2020-07-02 12:50:43.063714,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-51
18,DC:A6:32:33:AC:6C,2020-07-02 12:50:44.367091,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-52
19,DC:A6:32:33:AC:6C,2020-07-02 12:50:45.248233,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-49
20,DC:A6:32:33:AC:6C,2020-07-02 12:50:46.015735,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-49
21,DC:A6:32:33:AC:6C,2020-07-02 12:50:48.020956,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-49
22,DC:A6:32:33:AC:6C,2020-07-02 12:50:49.117319,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-50
23,DC:A6:32:33:AC:6C,2020-07-02 12:50:50.115407,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-47
24,DC:A6:32:33:AC:6C,2020-07-02 12:50:52.121175,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-49
25,DC:A6:32:33:AC:6C,2020-07-02 12:50:53.156210,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-51
26,DC:A6:32:33:AC:6C,2020-07-02 12:50:54.009651,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-49
27,DC:A6:32:33:AC:6C,2020-07-02 12:50:56.013844,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-50
28,DC:A6:32:33:AC:6C,2020-07-02 12:50:57.245220,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-49
29,DC:A6:32:33:AC:6C,2020-07-02 12:50:58.127721,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-50
30,DC:A6:32:33:AC:6C,2020-07-02 12:50:59.399175,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-49
31,DC:A6:32:33:AC:6C,2020-07-02 12:51:00.046496,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-50
32,DC:A6:32:33:AC:6C,2020-07-02 12:51:01.231699,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-49
33,DC:A6:32:33:AC:6C,2020-07-02 12:51:03.236736,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-50
34,DC:A6:32:33:AC:6C,2020-07-02 12:51:04.093936,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-49
35,DC:A6:32:33:AC:6C,2020-07-02 12:51:06.098147,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-49
36,DC:A6:32:33:AC:6C,2020-07-02 12:51:08.103358,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-51
37,DC:A6:32:33:AC:6C,2020-07-02 12:51:09.237349,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-49
38,DC:A6:32:33:AC:6C,2020-07-02 12:51:10.358514,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-51
39,DC:A6:32:33:AC:6C,2020-07-02 12:51:11.084721,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-51
40,DC:A6:32:33:AC:6C,2020-07-02 12:51:12.061702,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-48
41,DC:A6:32:33:AC:6C,2020-07-02 12:51:13.069879,1db915dc-bc84-11ea-84c0-dca63233ac6b,1,1,1,-48
