SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-07-05 17:08:32.059201,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-43
1,DC:A6:32:33:AC:6C,2020-07-05 17:08:33.029990,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-43
2,DC:A6:32:33:AC:6C,2020-07-05 17:08:34.125485,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-37
3,DC:A6:32:33:AC:6C,2020-07-05 17:08:35.009868,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-38
4,DC:A6:32:33:AC:6C,2020-07-05 17:08:36.074890,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-43
5,DC:A6:32:33:AC:6C,2020-07-05 17:08:37.060714,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-43
6,DC:A6:32:33:AC:6C,2020-07-05 17:08:38.301276,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-43
7,DC:A6:32:33:AC:6C,2020-07-05 17:08:39.014921,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-37
8,DC:A6:32:33:AC:6C,2020-07-05 17:08:40.055526,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-37
9,DC:A6:32:33:AC:6C,2020-07-05 17:08:41.093778,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-41
10,DC:A6:32:33:AC:6C,2020-07-05 17:08:42.433719,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-38
11,DC:A6:32:33:AC:6C,2020-07-05 17:08:43.020057,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-43
12,DC:A6:32:33:AC:6C,2020-07-05 17:08:44.264988,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-43
13,DC:A6:32:33:AC:6C,2020-07-05 17:08:45.253743,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-43
14,DC:A6:32:33:AC:6C,2020-07-05 17:08:46.295694,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-43
15,DC:A6:32:33:AC:6C,2020-07-05 17:08:47.031881,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-43
16,DC:A6:32:33:AC:6C,2020-07-05 17:08:48.016444,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-38
17,DC:A6:32:33:AC:6C,2020-07-05 17:08:49.142658,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-37
18,DC:A6:32:33:AC:6C,2020-07-05 17:08:50.051304,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-37
19,DC:A6:32:33:AC:6C,2020-07-05 17:08:51.238280,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-43
20,DC:A6:32:33:AC:6C,2020-07-05 17:08:52.151333,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-38
21,DC:A6:32:33:AC:6C,2020-07-05 17:08:53.065250,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-37
22,DC:A6:32:33:AC:6C,2020-07-05 17:08:54.071442,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-38
23,DC:A6:32:33:AC:6C,2020-07-05 17:08:55.041517,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-37
24,DC:A6:32:33:AC:6C,2020-07-05 17:08:56.237696,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-38
25,DC:A6:32:33:AC:6C,2020-07-05 17:08:57.010904,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-37
26,DC:A6:32:33:AC:6C,2020-07-05 17:08:58.117865,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-37
27,DC:A6:32:33:AC:6C,2020-07-05 17:08:59.005244,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-43
28,DC:A6:32:33:AC:6C,2020-07-05 17:09:00.054019,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-42
29,DC:A6:32:33:AC:6C,2020-07-05 17:09:01.135885,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-43
30,DC:A6:32:33:AC:6C,2020-07-05 17:09:02.051686,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-44
31,DC:A6:32:33:AC:6C,2020-07-05 17:09:03.207290,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-43
32,DC:A6:32:33:AC:6C,2020-07-05 17:09:04.062890,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-38
33,DC:A6:32:33:AC:6C,2020-07-05 17:09:05.279100,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-38
34,DC:A6:32:33:AC:6C,2020-07-05 17:09:06.070064,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-41
35,DC:A6:32:33:AC:6C,2020-07-05 17:09:07.263838,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-43
36,DC:A6:32:33:AC:6C,2020-07-05 17:09:08.032436,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-38
37,DC:A6:32:33:AC:6C,2020-07-05 17:09:09.135540,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-39
38,DC:A6:32:33:AC:6C,2020-07-05 17:09:10.121804,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-41
39,DC:A6:32:33:AC:6C,2020-07-05 17:09:11.003030,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-43
40,DC:A6:32:33:AC:6C,2020-07-05 17:09:12.010974,ad368bf0-bf03-11ea-9f82-dca63233ac6b,1,1,1,-43
