SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-07-02 19:01:34.401372,f8a6ebf0-bcb7-11ea-8048-dca63233ac6b,1,1,1,-76
1,DC:A6:32:33:AC:6C,2020-07-02 19:01:35.078101,f8a6ebf0-bcb7-11ea-8048-dca63233ac6b,1,1,1,-75
2,DC:A6:32:33:AC:6C,2020-07-02 19:01:36.166117,f8a6ebf0-bcb7-11ea-8048-dca63233ac6b,1,1,1,-78
3,DC:A6:32:33:AC:6C,2020-07-02 19:01:37.077563,f8a6ebf0-bcb7-11ea-8048-dca63233ac6b,1,1,1,-79
4,DC:A6:32:33:AC:6C,2020-07-02 19:01:38.407983,f8a6ebf0-bcb7-11ea-8048-dca63233ac6b,1,1,1,-75
5,DC:A6:32:33:AC:6C,2020-07-02 19:01:39.291921,f8a6ebf0-bcb7-11ea-8048-dca63233ac6b,1,1,1,-75
6,DC:A6:32:33:AC:6C,2020-07-02 19:01:40.173319,f8a6ebf0-bcb7-11ea-8048-dca63233ac6b,1,1,1,-76
7,DC:A6:32:33:AC:6C,2020-07-02 19:01:41.073515,f8a6ebf0-bcb7-11ea-8048-dca63233ac6b,1,1,1,-75
8,DC:A6:32:33:AC:6C,2020-07-02 19:01:42.070050,f8a6ebf0-bcb7-11ea-8048-dca63233ac6b,1,1,1,-75
9,DC:A6:32:33:AC:6C,2020-07-02 19:01:43.127840,f8a6ebf0-bcb7-11ea-8048-dca63233ac6b,1,1,1,-79
10,DC:A6:32:33:AC:6C,2020-07-02 19:01:44.043145,f8a6ebf0-bcb7-11ea-8048-dca63233ac6b,1,1,1,-75
11,DC:A6:32:33:AC:6C,2020-07-02 19:01:45.080886,f8a6ebf0-bcb7-11ea-8048-dca63233ac6b,1,1,1,-76
12,DC:A6:32:33:AC:6C,2020-07-02 19:01:46.007297,f8a6ebf0-bcb7-11ea-8048-dca63233ac6b,1,1,1,-78
13,DC:A6:32:33:AC:6C,2020-07-02 19:01:47.005607,f8a6ebf0-bcb7-11ea-8048-dca63233ac6b,1,1,1,-76
14,DC:A6:32:33:AC:6C,2020-07-02 19:01:48.682915,f8a6ebf0-bcb7-11ea-8048-dca63233ac6b,1,1,1,-74
15,DC:A6:32:33:AC:6C,2020-07-02 19:01:49.092858,f8a6ebf0-bcb7-11ea-8048-dca63233ac6b,1,1,1,-74
16,DC:A6:32:33:AC:6C,2020-07-02 19:01:50.066230,f8a6ebf0-bcb7-11ea-8048-dca63233ac6b,1,1,1,-79
17,DC:A6:32:33:AC:6C,2020-07-02 19:01:51.043357,f8a6ebf0-bcb7-11ea-8048-dca63233ac6b,1,1,1,-74
18,DC:A6:32:33:AC:6C,2020-07-02 19:01:52.252402,f8a6ebf0-bcb7-11ea-8048-dca63233ac6b,1,1,1,-76
19,DC:A6:32:33:AC:6C,2020-07-02 19:01:53.012600,f8a6ebf0-bcb7-11ea-8048-dca63233ac6b,1,1,1,-76
20,DC:A6:32:33:AC:6C,2020-07-02 19:01:54.264821,f8a6ebf0-bcb7-11ea-8048-dca63233ac6b,1,1,1,-78
21,DC:A6:32:33:AC:6C,2020-07-02 19:01:56.010612,f8a6ebf0-bcb7-11ea-8048-dca63233ac6b,1,1,1,-79
22,DC:A6:32:33:AC:6C,2020-07-02 19:01:57.197191,f8a6ebf0-bcb7-11ea-8048-dca63233ac6b,1,1,1,-75
23,DC:A6:32:33:AC:6C,2020-07-02 19:01:59.027510,f8a6ebf0-bcb7-11ea-8048-dca63233ac6b,1,1,1,-78
24,DC:A6:32:33:AC:6C,2020-07-02 19:02:00.272849,f8a6ebf0-bcb7-11ea-8048-dca63233ac6b,1,1,1,-76
25,DC:A6:32:33:AC:6C,2020-07-02 19:02:01.098639,f8a6ebf0-bcb7-11ea-8048-dca63233ac6b,1,1,1,-77
