SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-07-05 16:50:06.355529,18fa3e02-bf01-11ea-8290-dca63233ac6b,1,1,1,-75
1,DC:A6:32:33:AC:6C,2020-07-05 16:50:07.065500,18fa3e02-bf01-11ea-8290-dca63233ac6b,1,1,1,-76
2,DC:A6:32:33:AC:6C,2020-07-05 16:50:08.429168,18fa3e02-bf01-11ea-8290-dca63233ac6b,1,1,1,-77
3,DC:A6:32:33:AC:6C,2020-07-05 16:50:09.100337,18fa3e02-bf01-11ea-8290-dca63233ac6b,1,1,1,-68
4,DC:A6:32:33:AC:6C,2020-07-05 16:50:10.110435,18fa3e02-bf01-11ea-8290-dca63233ac6b,1,1,1,-69
5,DC:A6:32:33:AC:6C,2020-07-05 16:50:11.426698,18fa3e02-bf01-11ea-8290-dca63233ac6b,1,1,1,-77
6,DC:A6:32:33:AC:6C,2020-07-05 16:50:12.014141,18fa3e02-bf01-11ea-8290-dca63233ac6b,1,1,1,-75
7,DC:A6:32:33:AC:6C,2020-07-05 16:50:13.090526,18fa3e02-bf01-11ea-8290-dca63233ac6b,1,1,1,-75
8,DC:A6:32:33:AC:6C,2020-07-05 16:50:14.129804,18fa3e02-bf01-11ea-8290-dca63233ac6b,1,1,1,-76
9,DC:A6:32:33:AC:6C,2020-07-05 16:50:15.146712,18fa3e02-bf01-11ea-8290-dca63233ac6b,1,1,1,-77
10,DC:A6:32:33:AC:6C,2020-07-05 16:50:16.001706,18fa3e02-bf01-11ea-8290-dca63233ac6b,1,1,1,-74
11,DC:A6:32:33:AC:6C,2020-07-05 16:50:17.318099,18fa3e02-bf01-11ea-8290-dca63233ac6b,1,1,1,-74
12,DC:A6:32:33:AC:6C,2020-07-05 16:50:18.044380,18fa3e02-bf01-11ea-8290-dca63233ac6b,1,1,1,-74
13,DC:A6:32:33:AC:6C,2020-07-05 16:50:19.238055,18fa3e02-bf01-11ea-8290-dca63233ac6b,1,1,1,-76
14,DC:A6:32:33:AC:6C,2020-07-05 16:50:20.064302,18fa3e02-bf01-11ea-8290-dca63233ac6b,1,1,1,-74
15,DC:A6:32:33:AC:6C,2020-07-05 16:50:21.140595,18fa3e02-bf01-11ea-8290-dca63233ac6b,1,1,1,-74
16,DC:A6:32:33:AC:6C,2020-07-05 16:50:22.048100,18fa3e02-bf01-11ea-8290-dca63233ac6b,1,1,1,-69
17,DC:A6:32:33:AC:6C,2020-07-05 16:50:23.105096,18fa3e02-bf01-11ea-8290-dca63233ac6b,1,1,1,-74
18,DC:A6:32:33:AC:6C,2020-07-05 16:50:24.089421,18fa3e02-bf01-11ea-8290-dca63233ac6b,1,1,1,-76
19,DC:A6:32:33:AC:6C,2020-07-05 16:50:25.201938,18fa3e02-bf01-11ea-8290-dca63233ac6b,1,1,1,-75
20,DC:A6:32:33:AC:6C,2020-07-05 16:50:26.004481,18fa3e02-bf01-11ea-8290-dca63233ac6b,1,1,1,-69
21,DC:A6:32:33:AC:6C,2020-07-05 16:50:27.018263,18fa3e02-bf01-11ea-8290-dca63233ac6b,1,1,1,-74
22,DC:A6:32:33:AC:6C,2020-07-05 16:50:28.147094,18fa3e02-bf01-11ea-8290-dca63233ac6b,1,1,1,-69
