SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-07-09 21:22:55.109757,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-60
1,DC:A6:32:33:AC:6C,2020-07-09 21:22:56.086553,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-62
2,DC:A6:32:33:AC:6C,2020-07-09 21:22:57.187702,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-60
3,DC:A6:32:33:AC:6C,2020-07-09 21:22:58.296658,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-60
4,DC:A6:32:33:AC:6C,2020-07-09 21:22:59.029097,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-60
5,DC:A6:32:33:AC:6C,2020-07-09 21:23:00.007816,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-62
6,DC:A6:32:33:AC:6C,2020-07-09 21:23:01.401993,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-70
7,DC:A6:32:33:AC:6C,2020-07-09 21:23:02.051050,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-62
8,DC:A6:32:33:AC:6C,2020-07-09 21:23:03.215425,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-69
9,DC:A6:32:33:AC:6C,2020-07-09 21:23:04.004584,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-62
10,DC:A6:32:33:AC:6C,2020-07-09 21:23:06.009578,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-61
11,DC:A6:32:33:AC:6C,2020-07-09 21:23:08.014287,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-62
12,DC:A6:32:33:AC:6C,2020-07-09 21:23:09.027190,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-69
13,DC:A6:32:33:AC:6C,2020-07-09 21:23:10.150237,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-62
14,DC:A6:32:33:AC:6C,2020-07-09 21:23:11.059496,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-62
15,DC:A6:32:33:AC:6C,2020-07-09 21:23:12.093680,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-69
16,DC:A6:32:33:AC:6C,2020-07-09 21:23:13.007762,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-59
17,DC:A6:32:33:AC:6C,2020-07-09 21:23:14.762292,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-69
18,DC:A6:32:33:AC:6C,2020-07-09 21:23:15.005454,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-59
19,DC:A6:32:33:AC:6C,2020-07-09 21:23:16.443049,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-60
20,DC:A6:32:33:AC:6C,2020-07-09 21:23:17.050757,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-60
21,DC:A6:32:33:AC:6C,2020-07-09 21:23:18.802700,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-68
22,DC:A6:32:33:AC:6C,2020-07-09 21:23:19.007013,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-60
23,DC:A6:32:33:AC:6C,2020-07-09 21:23:20.044355,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-69
24,DC:A6:32:33:AC:6C,2020-07-09 21:23:21.407424,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-62
25,DC:A6:32:33:AC:6C,2020-07-09 21:23:22.407729,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-69
26,DC:A6:32:33:AC:6C,2020-07-09 21:23:23.062996,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-62
27,DC:A6:32:33:AC:6C,2020-07-09 21:23:24.010856,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-62
28,DC:A6:32:33:AC:6C,2020-07-09 21:23:25.043659,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-59
29,DC:A6:32:33:AC:6C,2020-07-09 21:23:26.104068,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-62
30,DC:A6:32:33:AC:6C,2020-07-09 21:23:27.193078,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-59
31,DC:A6:32:33:AC:6C,2020-07-09 21:23:28.165939,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-69
32,DC:A6:32:33:AC:6C,2020-07-09 21:23:29.014867,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-60
33,DC:A6:32:33:AC:6C,2020-07-09 21:23:30.200203,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-62
34,DC:A6:32:33:AC:6C,2020-07-09 21:23:31.144284,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-69
35,DC:A6:32:33:AC:6C,2020-07-09 21:23:32.211358,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-69
36,DC:A6:32:33:AC:6C,2020-07-09 21:23:33.039714,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-62
37,DC:A6:32:33:AC:6C,2020-07-09 21:23:34.076222,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-59
38,DC:A6:32:33:AC:6C,2020-07-09 21:23:35.412206,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-69
39,DC:A6:32:33:AC:6C,2020-07-09 21:23:36.089331,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-62
40,DC:A6:32:33:AC:6C,2020-07-09 21:23:37.340982,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-62
41,DC:A6:32:33:AC:6C,2020-07-09 21:23:38.288652,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-60
42,DC:A6:32:33:AC:6C,2020-07-09 21:23:39.086250,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-59
43,DC:A6:32:33:AC:6C,2020-07-09 21:23:40.120276,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-69
44,DC:A6:32:33:AC:6C,2020-07-09 21:23:41.549400,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-62
45,DC:A6:32:33:AC:6C,2020-07-09 21:23:42.010649,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-59
46,DC:A6:32:33:AC:6C,2020-07-09 21:23:43.010982,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-68
47,DC:A6:32:33:AC:6C,2020-07-09 21:23:44.111231,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-59
48,DC:A6:32:33:AC:6C,2020-07-09 21:23:45.028861,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-62
49,DC:A6:32:33:AC:6C,2020-07-09 21:23:46.096651,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-62
50,DC:A6:32:33:AC:6C,2020-07-09 21:23:47.071771,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-60
51,DC:A6:32:33:AC:6C,2020-07-09 21:23:48.049462,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-60
52,DC:A6:32:33:AC:6C,2020-07-09 21:23:49.080957,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-61
53,DC:A6:32:33:AC:6C,2020-07-09 21:23:50.091193,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-62
54,DC:A6:32:33:AC:6C,2020-07-09 21:23:51.035131,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-59
55,DC:A6:32:33:AC:6C,2020-07-09 21:23:53.030361,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-61
56,DC:A6:32:33:AC:6C,2020-07-09 21:23:54.154443,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-69
57,DC:A6:32:33:AC:6C,2020-07-09 21:23:55.077116,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-68
58,DC:A6:32:33:AC:6C,2020-07-09 21:23:56.381186,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-60
59,DC:A6:32:33:AC:6C,2020-07-09 21:23:57.081174,df29c99c-c24b-11ea-8d77-dca63233ac6b,1,1,1,-69
