SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-07-09 22:47:37.271637,b32242e6-c257-11ea-acda-dca63233ac6b,1,1,1,-69
1,DC:A6:32:33:AC:6C,2020-07-09 22:47:38.067849,b32242e6-c257-11ea-acda-dca63233ac6b,1,1,1,-73
2,DC:A6:32:33:AC:6C,2020-07-09 22:47:39.288373,b32242e6-c257-11ea-acda-dca63233ac6b,1,1,1,-71
3,DC:A6:32:33:AC:6C,2020-07-09 22:47:40.028327,b32242e6-c257-11ea-acda-dca63233ac6b,1,1,1,-73
4,DC:A6:32:33:AC:6C,2020-07-09 22:47:41.181557,b32242e6-c257-11ea-acda-dca63233ac6b,1,1,1,-74
5,DC:A6:32:33:AC:6C,2020-07-09 22:47:42.037231,b32242e6-c257-11ea-acda-dca63233ac6b,1,1,1,-73
6,DC:A6:32:33:AC:6C,2020-07-09 22:47:43.257261,b32242e6-c257-11ea-acda-dca63233ac6b,1,1,1,-73
7,DC:A6:32:33:AC:6C,2020-07-09 22:47:44.062160,b32242e6-c257-11ea-acda-dca63233ac6b,1,1,1,-72
8,DC:A6:32:33:AC:6C,2020-07-09 22:47:45.594100,b32242e6-c257-11ea-acda-dca63233ac6b,1,1,1,-71
9,DC:A6:32:33:AC:6C,2020-07-09 22:47:46.122215,b32242e6-c257-11ea-acda-dca63233ac6b,1,1,1,-69
10,DC:A6:32:33:AC:6C,2020-07-09 22:47:47.166616,b32242e6-c257-11ea-acda-dca63233ac6b,1,1,1,-71
11,DC:A6:32:33:AC:6C,2020-07-09 22:47:48.058514,b32242e6-c257-11ea-acda-dca63233ac6b,1,1,1,-72
12,DC:A6:32:33:AC:6C,2020-07-09 22:47:49.012205,b32242e6-c257-11ea-acda-dca63233ac6b,1,1,1,-73
13,DC:A6:32:33:AC:6C,2020-07-09 22:47:50.078481,b32242e6-c257-11ea-acda-dca63233ac6b,1,1,1,-69
