SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,,SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,37:22.6,311e13e8-ba72-11ea-9c09-dca63233ac6b,1,1,1,-31,,0,DC:A6:32:33:AC:6C,6/29/2020 22:09,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-59
1,DC:A6:32:33:AC:6C,37:23.1,311e13e8-ba72-11ea-9c09-dca63233ac6b,1,1,1,-31,,1,DC:A6:32:33:AC:6C,6/29/2020 22:09,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-59
2,DC:A6:32:33:AC:6C,37:24.1,311e13e8-ba72-11ea-9c09-dca63233ac6b,1,1,1,-28,,2,DC:A6:32:33:AC:6C,6/29/2020 22:09,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-59
3,DC:A6:32:33:AC:6C,37:25.2,311e13e8-ba72-11ea-9c09-dca63233ac6b,1,1,1,-28,,3,DC:A6:32:33:AC:6C,6/29/2020 22:09,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-79
4,DC:A6:32:33:AC:6C,37:26.3,311e13e8-ba72-11ea-9c09-dca63233ac6b,1,1,1,-31,,4,DC:A6:32:33:AC:6C,6/29/2020 22:09,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-68
5,DC:A6:32:33:AC:6C,37:27.0,311e13e8-ba72-11ea-9c09-dca63233ac6b,1,1,1,-28,,5,DC:A6:32:33:AC:6C,6/29/2020 22:09,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-60
6,DC:A6:32:33:AC:6C,37:28.0,311e13e8-ba72-11ea-9c09-dca63233ac6b,1,1,1,-28,,6,DC:A6:32:33:AC:6C,6/29/2020 22:09,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-60
7,DC:A6:32:33:AC:6C,37:29.1,311e13e8-ba72-11ea-9c09-dca63233ac6b,1,1,1,-28,,7,DC:A6:32:33:AC:6C,6/29/2020 22:09,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-60
8,DC:A6:32:33:AC:6C,37:30.1,311e13e8-ba72-11ea-9c09-dca63233ac6b,1,1,1,-28,,8,DC:A6:32:33:AC:6C,6/29/2020 22:09,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-77
9,DC:A6:32:33:AC:6C,37:31.1,311e13e8-ba72-11ea-9c09-dca63233ac6b,1,1,1,-31,,9,DC:A6:32:33:AC:6C,6/29/2020 22:09,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-58
10,DC:A6:32:33:AC:6C,37:32.1,311e13e8-ba72-11ea-9c09-dca63233ac6b,1,1,1,-31,,10,DC:A6:32:33:AC:6C,6/29/2020 22:09,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-60
11,DC:A6:32:33:AC:6C,37:33.1,311e13e8-ba72-11ea-9c09-dca63233ac6b,1,1,1,-31,,11,DC:A6:32:33:AC:6C,6/29/2020 22:09,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-59
12,DC:A6:32:33:AC:6C,37:34.0,311e13e8-ba72-11ea-9c09-dca63233ac6b,1,1,1,-28,,12,DC:A6:32:33:AC:6C,6/29/2020 22:10,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-68
