SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-06-29 22:09:48.116648,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-59
1,DC:A6:32:33:AC:6C,2020-06-29 22:09:49.100684,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-59
2,DC:A6:32:33:AC:6C,2020-06-29 22:09:50.114924,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-59
3,DC:A6:32:33:AC:6C,2020-06-29 22:09:51.298744,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-79
4,DC:A6:32:33:AC:6C,2020-06-29 22:09:52.194982,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-68
5,DC:A6:32:33:AC:6C,2020-06-29 22:09:53.052406,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-60
6,DC:A6:32:33:AC:6C,2020-06-29 22:09:54.008661,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-60
7,DC:A6:32:33:AC:6C,2020-06-29 22:09:55.112432,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-60
8,DC:A6:32:33:AC:6C,2020-06-29 22:09:56.057320,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-77
9,DC:A6:32:33:AC:6C,2020-06-29 22:09:57.088516,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-58
10,DC:A6:32:33:AC:6C,2020-06-29 22:09:58.207367,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-60
11,DC:A6:32:33:AC:6C,2020-06-29 22:09:59.092320,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-59
12,DC:A6:32:33:AC:6C,2020-06-29 22:10:00.128545,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-68
13,DC:A6:32:33:AC:6C,2020-06-29 22:10:01.037462,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-85
14,DC:A6:32:33:AC:6C,2020-06-29 22:10:02.102393,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-89
15,DC:A6:32:33:AC:6C,2020-06-29 22:10:03.031129,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-92
16,DC:A6:32:33:AC:6C,2020-06-29 22:10:04.196180,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-59
17,DC:A6:32:33:AC:6C,2020-06-29 22:10:05.032945,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-60
18,DC:A6:32:33:AC:6C,2020-06-29 22:10:06.127270,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-60
19,DC:A6:32:33:AC:6C,2020-06-29 22:10:07.040995,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-58
20,DC:A6:32:33:AC:6C,2020-06-29 22:10:08.084680,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-58
21,DC:A6:32:33:AC:6C,2020-06-29 22:10:09.057203,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-76
22,DC:A6:32:33:AC:6C,2020-06-29 22:10:10.004615,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-76
23,DC:A6:32:33:AC:6C,2020-06-29 22:10:11.066994,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-59
24,DC:A6:32:33:AC:6C,2020-06-29 22:10:12.097080,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-77
25,DC:A6:32:33:AC:6C,2020-06-29 22:10:13.224566,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-58
26,DC:A6:32:33:AC:6C,2020-06-29 22:10:14.110804,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-85
27,DC:A6:32:33:AC:6C,2020-06-29 22:10:15.086994,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-68
28,DC:A6:32:33:AC:6C,2020-06-29 22:10:16.151920,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-59
29,DC:A6:32:33:AC:6C,2020-06-29 22:10:17.012515,bea7ad1a-ba76-11ea-9256-dca63233ac6b,1,1,1,-58
