SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-07-01 16:11:21.825526,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-57
1,DC:A6:32:33:AC:6C,2020-07-01 16:11:22.013901,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-58
2,DC:A6:32:33:AC:6C,2020-07-01 16:11:23.029121,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-58
3,DC:A6:32:33:AC:6C,2020-07-01 16:11:24.335601,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-57
4,DC:A6:32:33:AC:6C,2020-07-01 16:11:25.101799,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-57
5,DC:A6:32:33:AC:6C,2020-07-01 16:11:26.020771,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-57
6,DC:A6:32:33:AC:6C,2020-07-01 16:11:27.321893,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-58
7,DC:A6:32:33:AC:6C,2020-07-01 16:11:29.326270,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-57
8,DC:A6:32:33:AC:6C,2020-07-01 16:11:30.516158,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-58
9,DC:A6:32:33:AC:6C,2020-07-01 16:11:31.279904,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-57
10,DC:A6:32:33:AC:6C,2020-07-01 16:11:32.076018,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-59
11,DC:A6:32:33:AC:6C,2020-07-01 16:11:33.115642,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-58
12,DC:A6:32:33:AC:6C,2020-07-01 16:11:34.148758,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-58
13,DC:A6:32:33:AC:6C,2020-07-01 16:11:35.180678,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-59
14,DC:A6:32:33:AC:6C,2020-07-01 16:11:36.089312,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-58
15,DC:A6:32:33:AC:6C,2020-07-01 16:11:37.131572,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-57
16,DC:A6:32:33:AC:6C,2020-07-01 16:11:38.291942,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-60
17,DC:A6:32:33:AC:6C,2020-07-01 16:11:39.325637,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-58
18,DC:A6:32:33:AC:6C,2020-07-01 16:11:40.093159,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-59
19,DC:A6:32:33:AC:6C,2020-07-01 16:11:42.097895,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-57
20,DC:A6:32:33:AC:6C,2020-07-01 16:11:43.735792,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-58
21,DC:A6:32:33:AC:6C,2020-07-01 16:11:44.176950,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-57
22,DC:A6:32:33:AC:6C,2020-07-01 16:11:45.003204,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-58
23,DC:A6:32:33:AC:6C,2020-07-01 16:11:46.031998,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-57
24,DC:A6:32:33:AC:6C,2020-07-01 16:11:47.059207,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-53
25,DC:A6:32:33:AC:6C,2020-07-01 16:11:48.096435,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-57
26,DC:A6:32:33:AC:6C,2020-07-01 16:11:49.794589,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-58
27,DC:A6:32:33:AC:6C,2020-07-01 16:11:50.025743,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-59
28,DC:A6:32:33:AC:6C,2020-07-01 16:11:51.158258,06cb8e66-bbd7-11ea-91f5-dca63233ac6b,1,1,1,-58
