SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-07-05 12:28:12.470608,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-62
1,DC:A6:32:33:AC:6C,2020-07-05 12:28:13.173912,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-61
2,DC:A6:32:33:AC:6C,2020-07-05 12:28:14.505196,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-62
3,DC:A6:32:33:AC:6C,2020-07-05 12:28:15.297768,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-62
4,DC:A6:32:33:AC:6C,2020-07-05 12:28:16.153912,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-67
5,DC:A6:32:33:AC:6C,2020-07-05 12:28:17.122785,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-67
6,DC:A6:32:33:AC:6C,2020-07-05 12:28:18.186534,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-60
7,DC:A6:32:33:AC:6C,2020-07-05 12:28:19.075262,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-61
8,DC:A6:32:33:AC:6C,2020-07-05 12:28:20.078361,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-61
9,DC:A6:32:33:AC:6C,2020-07-05 12:28:21.082712,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-60
10,DC:A6:32:33:AC:6C,2020-07-05 12:28:22.142832,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-60
11,DC:A6:32:33:AC:6C,2020-07-05 12:28:23.579688,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-67
12,DC:A6:32:33:AC:6C,2020-07-05 12:28:24.078409,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-67
13,DC:A6:32:33:AC:6C,2020-07-05 12:28:26.082857,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-60
14,DC:A6:32:33:AC:6C,2020-07-05 12:28:27.604756,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-67
15,DC:A6:32:33:AC:6C,2020-07-05 12:28:28.248444,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-60
16,DC:A6:32:33:AC:6C,2020-07-05 12:28:29.196539,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-60
17,DC:A6:32:33:AC:6C,2020-07-05 12:28:30.760395,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-62
18,DC:A6:32:33:AC:6C,2020-07-05 12:28:31.092777,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-68
19,DC:A6:32:33:AC:6C,2020-07-05 12:28:32.092797,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-60
20,DC:A6:32:33:AC:6C,2020-07-05 12:28:33.006696,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-60
21,DC:A6:32:33:AC:6C,2020-07-05 12:28:35.011619,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-67
22,DC:A6:32:33:AC:6C,2020-07-05 12:28:36.130923,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-67
23,DC:A6:32:33:AC:6C,2020-07-05 12:28:37.017894,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-67
24,DC:A6:32:33:AC:6C,2020-07-05 12:28:38.145444,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-62
25,DC:A6:32:33:AC:6C,2020-07-05 12:28:39.908478,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-59
26,DC:A6:32:33:AC:6C,2020-07-05 12:28:40.034657,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-61
27,DC:A6:32:33:AC:6C,2020-07-05 12:28:42.038533,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-60
28,DC:A6:32:33:AC:6C,2020-07-05 12:28:43.330486,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-66
29,DC:A6:32:33:AC:6C,2020-07-05 12:28:44.775427,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-62
30,DC:A6:32:33:AC:6C,2020-07-05 12:28:45.014711,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-60
31,DC:A6:32:33:AC:6C,2020-07-05 12:28:46.076599,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-60
32,DC:A6:32:33:AC:6C,2020-07-05 12:28:47.476723,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-66
33,DC:A6:32:33:AC:6C,2020-07-05 12:28:48.098613,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-62
34,DC:A6:32:33:AC:6C,2020-07-05 12:28:50.104222,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-62
35,DC:A6:32:33:AC:6C,2020-07-05 12:28:51.315423,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-60
36,DC:A6:32:33:AC:6C,2020-07-05 12:28:52.226723,8385559c-bedc-11ea-a0ce-dca63233ac6b,1,1,1,-60
