SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-07-05 12:25:28.055623,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-68
1,DC:A6:32:33:AC:6C,2020-07-05 12:25:29.267372,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-61
2,DC:A6:32:33:AC:6C,2020-07-05 12:25:30.193509,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-70
3,DC:A6:32:33:AC:6C,2020-07-05 12:25:31.187350,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-69
4,DC:A6:32:33:AC:6C,2020-07-05 12:25:32.386070,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-69
5,DC:A6:32:33:AC:6C,2020-07-05 12:25:33.106083,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-68
6,DC:A6:32:33:AC:6C,2020-07-05 12:25:34.142275,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-60
7,DC:A6:32:33:AC:6C,2020-07-05 12:25:35.093510,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-60
8,DC:A6:32:33:AC:6C,2020-07-05 12:25:36.363479,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-62
9,DC:A6:32:33:AC:6C,2020-07-05 12:25:37.077930,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-68
10,DC:A6:32:33:AC:6C,2020-07-05 12:25:39.019089,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-63
11,DC:A6:32:33:AC:6C,2020-07-05 12:25:40.202222,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-69
12,DC:A6:32:33:AC:6C,2020-07-05 12:25:41.324711,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-63
13,DC:A6:32:33:AC:6C,2020-07-05 12:25:42.512290,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-60
14,DC:A6:32:33:AC:6C,2020-07-05 12:25:43.037853,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-68
15,DC:A6:32:33:AC:6C,2020-07-05 12:25:44.042309,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-68
16,DC:A6:32:33:AC:6C,2020-07-05 12:25:45.416011,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-63
17,DC:A6:32:33:AC:6C,2020-07-05 12:25:46.427226,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-68
18,DC:A6:32:33:AC:6C,2020-07-05 12:25:47.028449,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-67
19,DC:A6:32:33:AC:6C,2020-07-05 12:25:48.127978,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-60
20,DC:A6:32:33:AC:6C,2020-07-05 12:25:49.022243,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-61
21,DC:A6:32:33:AC:6C,2020-07-05 12:25:50.372201,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-60
22,DC:A6:32:33:AC:6C,2020-07-05 12:25:51.043495,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-60
23,DC:A6:32:33:AC:6C,2020-07-05 12:25:52.283546,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-60
24,DC:A6:32:33:AC:6C,2020-07-05 12:25:53.149142,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-63
25,DC:A6:32:33:AC:6C,2020-07-05 12:25:54.199783,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-63
26,DC:A6:32:33:AC:6C,2020-07-05 12:25:56.204749,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-63
27,DC:A6:32:33:AC:6C,2020-07-05 12:25:57.020973,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-63
28,DC:A6:32:33:AC:6C,2020-07-05 12:25:58.179830,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-68
29,DC:A6:32:33:AC:6C,2020-07-05 12:25:59.007929,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-68
30,DC:A6:32:33:AC:6C,2020-07-05 12:26:00.377234,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-63
31,DC:A6:32:33:AC:6C,2020-07-05 12:26:01.064822,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-69
32,DC:A6:32:33:AC:6C,2020-07-05 12:26:02.052280,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-64
33,DC:A6:32:33:AC:6C,2020-07-05 12:26:03.004818,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-64
34,DC:A6:32:33:AC:6C,2020-07-05 12:26:04.887354,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-69
35,DC:A6:32:33:AC:6C,2020-07-05 12:26:05.047965,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-69
36,DC:A6:32:33:AC:6C,2020-07-05 12:26:06.542216,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-68
37,DC:A6:32:33:AC:6C,2020-07-05 12:26:07.055810,21c561bc-bedc-11ea-a92c-dca63233ac6b,1,1,1,-61
