SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-07-26 12:28:15.191951,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-49
1,DC:A6:32:33:AC:6C,2020-07-26 12:28:16.017319,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-46
2,DC:A6:32:33:AC:6C,2020-07-26 12:28:17.233506,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-48
3,DC:A6:32:33:AC:6C,2020-07-26 12:28:18.026065,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-57
4,DC:A6:32:33:AC:6C,2020-07-26 12:28:19.343610,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-41
5,DC:A6:32:33:AC:6C,2020-07-26 12:28:20.043686,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-44
6,DC:A6:32:33:AC:6C,2020-07-26 12:28:21.383837,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-53
7,DC:A6:32:33:AC:6C,2020-07-26 12:28:22.267044,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-54
8,DC:A6:32:33:AC:6C,2020-07-26 12:28:23.032603,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-52
9,DC:A6:32:33:AC:6C,2020-07-26 12:28:24.127702,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-47
10,DC:A6:32:33:AC:6C,2020-07-26 12:28:25.410311,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-51
11,DC:A6:32:33:AC:6C,2020-07-26 12:28:26.002203,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-47
12,DC:A6:32:33:AC:6C,2020-07-26 12:28:27.375450,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-57
13,DC:A6:32:33:AC:6C,2020-07-26 12:28:28.267953,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-52
14,DC:A6:32:33:AC:6C,2020-07-26 12:28:29.018621,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-54
15,DC:A6:32:33:AC:6C,2020-07-26 12:28:30.124393,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-59
16,DC:A6:32:33:AC:6C,2020-07-26 12:28:31.128199,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-58
17,DC:A6:32:33:AC:6C,2020-07-26 12:28:32.315682,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-54
18,DC:A6:32:33:AC:6C,2020-07-26 12:28:33.024486,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-56
19,DC:A6:32:33:AC:6C,2020-07-26 12:28:34.238326,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-46
20,DC:A6:32:33:AC:6C,2020-07-26 12:28:35.037087,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-51
21,DC:A6:32:33:AC:6C,2020-07-26 12:28:36.673584,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-54
22,DC:A6:32:33:AC:6C,2020-07-26 12:28:37.003488,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-53
23,DC:A6:32:33:AC:6C,2020-07-26 12:28:38.198566,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-67
24,DC:A6:32:33:AC:6C,2020-07-26 12:28:39.057409,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-54
25,DC:A6:32:33:AC:6C,2020-07-26 12:28:40.138699,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-53
26,DC:A6:32:33:AC:6C,2020-07-26 12:28:41.004446,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-51
27,DC:A6:32:33:AC:6C,2020-07-26 12:28:42.125119,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-55
28,DC:A6:32:33:AC:6C,2020-07-26 12:28:43.046417,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-52
29,DC:A6:32:33:AC:6C,2020-07-26 12:28:44.378999,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-53
30,DC:A6:32:33:AC:6C,2020-07-26 12:28:45.046655,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-48
31,DC:A6:32:33:AC:6C,2020-07-26 12:28:46.326726,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-52
32,DC:A6:32:33:AC:6C,2020-07-26 12:28:47.089123,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-61
33,DC:A6:32:33:AC:6C,2020-07-26 12:28:48.561806,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-52
34,DC:A6:32:33:AC:6C,2020-07-26 12:28:49.099250,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-52
35,DC:A6:32:33:AC:6C,2020-07-26 12:28:50.414381,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-54
36,DC:A6:32:33:AC:6C,2020-07-26 12:28:51.088249,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-49
37,DC:A6:32:33:AC:6C,2020-07-26 12:28:52.187007,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-61
38,DC:A6:32:33:AC:6C,2020-07-26 12:28:53.139471,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-59
39,DC:A6:32:33:AC:6C,2020-07-26 12:28:54.039588,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-49
40,DC:A6:32:33:AC:6C,2020-07-26 12:28:55.067168,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-55
41,DC:A6:32:33:AC:6C,2020-07-26 12:28:56.128572,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-46
42,DC:A6:32:33:AC:6C,2020-07-26 12:28:57.129733,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-54
43,DC:A6:32:33:AC:6C,2020-07-26 12:28:58.227300,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-46
44,DC:A6:32:33:AC:6C,2020-07-26 12:28:59.253636,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-45
45,DC:A6:32:33:AC:6C,2020-07-26 12:29:00.076161,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-61
46,DC:A6:32:33:AC:6C,2020-07-26 12:29:01.180136,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-63
47,DC:A6:32:33:AC:6C,2020-07-26 12:29:02.072635,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-63
48,DC:A6:32:33:AC:6C,2020-07-26 12:29:03.048015,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-68
49,DC:A6:32:33:AC:6C,2020-07-26 12:29:04.600386,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-57
50,DC:A6:32:33:AC:6C,2020-07-26 12:29:05.020394,002e179c-cf5d-11ea-b566-dca63233ac6b,1,1,1,-59
