SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-06-30 12:49:23.652808,92e4442e-baf1-11ea-b962-dca63233ac6b,1,1,1,-58
1,DC:A6:32:33:AC:6C,2020-06-30 12:49:24.299134,92e4442e-baf1-11ea-b962-dca63233ac6b,1,1,1,-55
2,DC:A6:32:33:AC:6C,2020-06-30 12:49:25.493010,92e4442e-baf1-11ea-b962-dca63233ac6b,1,1,1,-55
3,DC:A6:32:33:AC:6C,2020-06-30 12:49:26.229260,92e4442e-baf1-11ea-b962-dca63233ac6b,1,1,1,-56
4,DC:A6:32:33:AC:6C,2020-06-30 12:49:27.141710,92e4442e-baf1-11ea-b962-dca63233ac6b,1,1,1,-59
5,DC:A6:32:33:AC:6C,2020-06-30 12:49:28.064682,92e4442e-baf1-11ea-b962-dca63233ac6b,1,1,1,-60
6,DC:A6:32:33:AC:6C,2020-06-30 12:49:30.029220,92e4442e-baf1-11ea-b962-dca63233ac6b,1,1,1,-59
7,DC:A6:32:33:AC:6C,2020-06-30 12:49:31.101892,92e4442e-baf1-11ea-b962-dca63233ac6b,1,1,1,-58
8,DC:A6:32:33:AC:6C,2020-06-30 12:49:32.082031,92e4442e-baf1-11ea-b962-dca63233ac6b,1,1,1,-56
9,DC:A6:32:33:AC:6C,2020-06-30 12:49:33.304489,92e4442e-baf1-11ea-b962-dca63233ac6b,1,1,1,-60
10,DC:A6:32:33:AC:6C,2020-06-30 12:49:34.199468,92e4442e-baf1-11ea-b962-dca63233ac6b,1,1,1,-58
11,DC:A6:32:33:AC:6C,2020-06-30 12:49:35.050637,92e4442e-baf1-11ea-b962-dca63233ac6b,1,1,1,-58
12,DC:A6:32:33:AC:6C,2020-06-30 12:49:36.049159,92e4442e-baf1-11ea-b962-dca63233ac6b,1,1,1,-56
13,DC:A6:32:33:AC:6C,2020-06-30 12:49:37.062008,92e4442e-baf1-11ea-b962-dca63233ac6b,1,1,1,-60
14,DC:A6:32:33:AC:6C,2020-06-30 12:49:38.030215,92e4442e-baf1-11ea-b962-dca63233ac6b,1,1,1,-59
