SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-07-01 12:47:04.313850,7b4e8e36-bbba-11ea-b675-dca63233ac6b,1,1,1,-78
1,DC:A6:32:33:AC:6C,2020-07-01 12:47:05.054675,7b4e8e36-bbba-11ea-b675-dca63233ac6b,1,1,1,-77
2,DC:A6:32:33:AC:6C,2020-07-01 12:47:06.362117,7b4e8e36-bbba-11ea-b675-dca63233ac6b,1,1,1,-77
3,DC:A6:32:33:AC:6C,2020-07-01 12:47:07.733474,7b4e8e36-bbba-11ea-b675-dca63233ac6b,1,1,1,-80
4,DC:A6:32:33:AC:6C,2020-07-01 12:47:08.102133,7b4e8e36-bbba-11ea-b675-dca63233ac6b,1,1,1,-74
5,DC:A6:32:33:AC:6C,2020-07-01 12:47:09.114893,7b4e8e36-bbba-11ea-b675-dca63233ac6b,1,1,1,-79
6,DC:A6:32:33:AC:6C,2020-07-01 12:47:10.182498,7b4e8e36-bbba-11ea-b675-dca63233ac6b,1,1,1,-75
7,DC:A6:32:33:AC:6C,2020-07-01 12:47:11.283549,7b4e8e36-bbba-11ea-b675-dca63233ac6b,1,1,1,-76
8,DC:A6:32:33:AC:6C,2020-07-01 12:47:12.163656,7b4e8e36-bbba-11ea-b675-dca63233ac6b,1,1,1,-84
9,DC:A6:32:33:AC:6C,2020-07-01 12:47:13.190555,7b4e8e36-bbba-11ea-b675-dca63233ac6b,1,1,1,-74
10,DC:A6:32:33:AC:6C,2020-07-01 12:47:15.196373,7b4e8e36-bbba-11ea-b675-dca63233ac6b,1,1,1,-77
11,DC:A6:32:33:AC:6C,2020-07-01 12:47:16.126757,7b4e8e36-bbba-11ea-b675-dca63233ac6b,1,1,1,-77
12,DC:A6:32:33:AC:6C,2020-07-01 12:47:17.385109,7b4e8e36-bbba-11ea-b675-dca63233ac6b,1,1,1,-79
13,DC:A6:32:33:AC:6C,2020-07-01 12:47:18.275582,7b4e8e36-bbba-11ea-b675-dca63233ac6b,1,1,1,-77
14,DC:A6:32:33:AC:6C,2020-07-01 12:47:19.111334,7b4e8e36-bbba-11ea-b675-dca63233ac6b,1,1,1,-76
15,DC:A6:32:33:AC:6C,2020-07-01 12:47:20.053938,7b4e8e36-bbba-11ea-b675-dca63233ac6b,1,1,1,-77
16,DC:A6:32:33:AC:6C,2020-07-01 12:47:21.208137,7b4e8e36-bbba-11ea-b675-dca63233ac6b,1,1,1,-84
17,DC:A6:32:33:AC:6C,2020-07-01 12:47:22.031159,7b4e8e36-bbba-11ea-b675-dca63233ac6b,1,1,1,-79
18,DC:A6:32:33:AC:6C,2020-07-01 12:47:23.377692,7b4e8e36-bbba-11ea-b675-dca63233ac6b,1,1,1,-78
19,DC:A6:32:33:AC:6C,2020-07-01 12:47:24.007023,7b4e8e36-bbba-11ea-b675-dca63233ac6b,1,1,1,-79
20,DC:A6:32:33:AC:6C,2020-07-01 12:47:25.385879,7b4e8e36-bbba-11ea-b675-dca63233ac6b,1,1,1,-83
