SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-07-01 12:39:18.194791,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-71
1,DC:A6:32:33:AC:6C,2020-07-01 12:39:19.235473,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-70
2,DC:A6:32:33:AC:6C,2020-07-01 12:39:20.237824,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-69
3,DC:A6:32:33:AC:6C,2020-07-01 12:39:21.395394,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-68
4,DC:A6:32:33:AC:6C,2020-07-01 12:39:22.044114,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-70
5,DC:A6:32:33:AC:6C,2020-07-01 12:39:23.041611,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-68
6,DC:A6:32:33:AC:6C,2020-07-01 12:39:24.077996,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-68
7,DC:A6:32:33:AC:6C,2020-07-01 12:39:25.305385,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-69
8,DC:A6:32:33:AC:6C,2020-07-01 12:39:26.075349,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-69
9,DC:A6:32:33:AC:6C,2020-07-01 12:39:28.002837,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-69
10,DC:A6:32:33:AC:6C,2020-07-01 12:39:30.007994,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-70
11,DC:A6:32:33:AC:6C,2020-07-01 12:39:31.051640,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-70
12,DC:A6:32:33:AC:6C,2020-07-01 12:39:32.098504,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-70
13,DC:A6:32:33:AC:6C,2020-07-01 12:39:33.081779,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-69
14,DC:A6:32:33:AC:6C,2020-07-01 12:39:34.090616,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-69
15,DC:A6:32:33:AC:6C,2020-07-01 12:39:35.282939,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-68
16,DC:A6:32:33:AC:6C,2020-07-01 12:39:36.227923,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-70
17,DC:A6:32:33:AC:6C,2020-07-01 12:39:37.282937,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-67
18,DC:A6:32:33:AC:6C,2020-07-01 12:39:38.026055,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-69
19,DC:A6:32:33:AC:6C,2020-07-01 12:39:39.038101,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-69
20,DC:A6:32:33:AC:6C,2020-07-01 12:39:41.043083,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-69
21,DC:A6:32:33:AC:6C,2020-07-01 12:39:42.266753,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-69
22,DC:A6:32:33:AC:6C,2020-07-01 12:39:43.166815,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-69
23,DC:A6:32:33:AC:6C,2020-07-01 12:39:44.476240,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-71
24,DC:A6:32:33:AC:6C,2020-07-01 12:39:45.094287,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-68
25,DC:A6:32:33:AC:6C,2020-07-01 12:39:46.124296,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-68
26,DC:A6:32:33:AC:6C,2020-07-01 12:39:47.858136,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-69
27,DC:A6:32:33:AC:6C,2020-07-01 12:39:48.034279,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-71
28,DC:A6:32:33:AC:6C,2020-07-01 12:39:49.126935,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-67
29,DC:A6:32:33:AC:6C,2020-07-01 12:39:50.136940,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-69
30,DC:A6:32:33:AC:6C,2020-07-01 12:39:51.084354,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-71
31,DC:A6:32:33:AC:6C,2020-07-01 12:39:52.231856,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-67
32,DC:A6:32:33:AC:6C,2020-07-01 12:39:53.006990,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-70
33,DC:A6:32:33:AC:6C,2020-07-01 12:39:54.113241,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-68
34,DC:A6:32:33:AC:6C,2020-07-01 12:39:55.064390,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-69
35,DC:A6:32:33:AC:6C,2020-07-01 12:39:56.061240,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-69
36,DC:A6:32:33:AC:6C,2020-07-01 12:39:57.056903,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-71
37,DC:A6:32:33:AC:6C,2020-07-01 12:39:58.193272,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-68
38,DC:A6:32:33:AC:6C,2020-07-01 12:39:59.014536,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-71
39,DC:A6:32:33:AC:6C,2020-07-01 12:40:00.149523,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-70
40,DC:A6:32:33:AC:6C,2020-07-01 12:40:01.078202,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-72
41,DC:A6:32:33:AC:6C,2020-07-01 12:40:02.064659,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-70
42,DC:A6:32:33:AC:6C,2020-07-01 12:40:03.853337,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-72
43,DC:A6:32:33:AC:6C,2020-07-01 12:40:04.020763,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-69
44,DC:A6:32:33:AC:6C,2020-07-01 12:40:05.153302,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-70
45,DC:A6:32:33:AC:6C,2020-07-01 12:40:06.016986,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-69
46,DC:A6:32:33:AC:6C,2020-07-01 12:40:07.024508,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-69
47,DC:A6:32:33:AC:6C,2020-07-01 12:40:08.035759,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-68
48,DC:A6:32:33:AC:6C,2020-07-01 12:40:09.495916,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-71
49,DC:A6:32:33:AC:6C,2020-07-01 12:40:10.005782,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-69
50,DC:A6:32:33:AC:6C,2020-07-01 12:40:11.544611,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-71
51,DC:A6:32:33:AC:6C,2020-07-01 12:40:12.043291,66086c82-bbb9-11ea-9d03-dca63233ac6b,1,1,1,-69
