SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-06-30 12:15:47.168775,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-65
1,DC:A6:32:33:AC:6C,2020-06-30 12:15:48.093969,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-57
2,DC:A6:32:33:AC:6C,2020-06-30 12:15:50.099076,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-57
3,DC:A6:32:33:AC:6C,2020-06-30 12:15:51.055163,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-57
4,DC:A6:32:33:AC:6C,2020-06-30 12:15:52.360472,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-57
5,DC:A6:32:33:AC:6C,2020-06-30 12:15:53.167963,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-57
6,DC:A6:32:33:AC:6C,2020-06-30 12:15:54.271740,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-61
7,DC:A6:32:33:AC:6C,2020-06-30 12:15:55.915536,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-65
8,DC:A6:32:33:AC:6C,2020-06-30 12:15:56.005873,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-65
9,DC:A6:32:33:AC:6C,2020-06-30 12:15:57.103045,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-59
10,DC:A6:32:33:AC:6C,2020-06-30 12:15:58.015632,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-57
11,DC:A6:32:33:AC:6C,2020-06-30 12:15:59.111793,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-59
12,DC:A6:32:33:AC:6C,2020-06-30 12:16:00.441900,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-59
13,DC:A6:32:33:AC:6C,2020-06-30 12:16:01.259239,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-65
14,DC:A6:32:33:AC:6C,2020-06-30 12:16:02.216866,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-61
15,DC:A6:32:33:AC:6C,2020-06-30 12:16:03.043041,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-61
16,DC:A6:32:33:AC:6C,2020-06-30 12:16:04.018179,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-60
17,DC:A6:32:33:AC:6C,2020-06-30 12:16:05.533280,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-65
18,DC:A6:32:33:AC:6C,2020-06-30 12:16:06.265046,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-62
19,DC:A6:32:33:AC:6C,2020-06-30 12:16:07.222149,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-65
20,DC:A6:32:33:AC:6C,2020-06-30 12:16:08.410889,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-60
21,DC:A6:32:33:AC:6C,2020-06-30 12:16:09.189647,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-65
22,DC:A6:32:33:AC:6C,2020-06-30 12:16:10.070823,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-65
23,DC:A6:32:33:AC:6C,2020-06-30 12:16:11.055801,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-65
24,DC:A6:32:33:AC:6C,2020-06-30 12:16:12.481040,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-65
25,DC:A6:32:33:AC:6C,2020-06-30 12:16:13.045941,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-57
26,DC:A6:32:33:AC:6C,2020-06-30 12:16:14.032265,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-57
27,DC:A6:32:33:AC:6C,2020-06-30 12:16:15.391102,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-57
28,DC:A6:32:33:AC:6C,2020-06-30 12:16:16.060942,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-57
29,DC:A6:32:33:AC:6C,2020-06-30 12:16:17.782434,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-56
30,DC:A6:32:33:AC:6C,2020-06-30 12:16:18.511714,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-57
31,DC:A6:32:33:AC:6C,2020-06-30 12:16:19.061023,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-59
32,DC:A6:32:33:AC:6C,2020-06-30 12:16:20.071203,f2c57052-baec-11ea-86c4-dca63233ac6b,1,1,1,-57
