SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,08:24.1,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-66
1,DC:A6:32:33:AC:6C,08:25.0,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-64
2,DC:A6:32:33:AC:6C,08:25.9,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-66
3,DC:A6:32:33:AC:6C,08:26.8,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-65
4,DC:A6:32:33:AC:6C,08:27.7,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-67
5,DC:A6:32:33:AC:6C,08:28.6,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-68
6,DC:A6:32:33:AC:6C,08:29.5,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-68
7,DC:A6:32:33:AC:6C,08:30.3,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-70
8,DC:A6:32:33:AC:6C,08:31.2,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-65
9,DC:A6:32:33:AC:6C,08:32.1,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-65
10,DC:A6:32:33:AC:6C,08:33.0,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-65
11,DC:A6:32:33:AC:6C,08:33.9,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-70
12,DC:A6:32:33:AC:6C,08:34.8,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-67
13,DC:A6:32:33:AC:6C,08:35.6,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-64
14,DC:A6:32:33:AC:6C,08:36.5,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-68
15,DC:A6:32:33:AC:6C,08:37.4,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-70
16,DC:A6:32:33:AC:6C,08:38.3,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-69
17,DC:A6:32:33:AC:6C,08:39.2,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-68
18,DC:A6:32:33:AC:6C,08:40.1,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-68
19,DC:A6:32:33:AC:6C,08:41.0,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-64
20,DC:A6:32:33:AC:6C,08:41.8,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-66
21,DC:A6:32:33:AC:6C,08:42.7,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-68
22,DC:A6:32:33:AC:6C,08:43.6,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-66
23,DC:A6:32:33:AC:6C,08:44.5,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-68
24,DC:A6:32:33:AC:6C,08:45.4,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-70
25,DC:A6:32:33:AC:6C,08:46.3,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-70
26,DC:A6:32:33:AC:6C,08:47.2,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-69
27,DC:A6:32:33:AC:6C,08:48.0,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-68
28,DC:A6:32:33:AC:6C,08:48.9,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-68
29,DC:A6:32:33:AC:6C,08:49.8,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-72
30,DC:A6:32:33:AC:6C,08:50.7,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-70
31,DC:A6:32:33:AC:6C,08:51.6,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-70
32,DC:A6:32:33:AC:6C,08:52.5,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-70
33,DC:A6:32:33:AC:6C,08:53.3,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-79
34,DC:A6:32:33:AC:6C,08:54.2,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-70
35,DC:A6:32:33:AC:6C,08:55.1,4bc0c6fa-baf4-11ea-8740-dca63233ac6b,1,1,1,-76
