SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-06-30 13:01:23.998385,5248567e-baf3-11ea-b76d-dca63233ac6b,1,1,1,-64
1,DC:A6:32:33:AC:6C,2020-06-30 13:01:24.011450,5248567e-baf3-11ea-b76d-dca63233ac6b,1,1,1,-57
2,DC:A6:32:33:AC:6C,2020-06-30 13:01:25.046598,5248567e-baf3-11ea-b76d-dca63233ac6b,1,1,1,-56
3,DC:A6:32:33:AC:6C,2020-06-30 13:01:26.046438,5248567e-baf3-11ea-b76d-dca63233ac6b,1,1,1,-56
4,DC:A6:32:33:AC:6C,2020-06-30 13:01:27.003945,5248567e-baf3-11ea-b76d-dca63233ac6b,1,1,1,-56
5,DC:A6:32:33:AC:6C,2020-06-30 13:01:28.016475,5248567e-baf3-11ea-b76d-dca63233ac6b,1,1,1,-54
6,DC:A6:32:33:AC:6C,2020-06-30 13:01:30.021364,5248567e-baf3-11ea-b76d-dca63233ac6b,1,1,1,-54
7,DC:A6:32:33:AC:6C,2020-06-30 13:01:31.521229,5248567e-baf3-11ea-b76d-dca63233ac6b,1,1,1,-58
8,DC:A6:32:33:AC:6C,2020-06-30 13:01:32.086248,5248567e-baf3-11ea-b76d-dca63233ac6b,1,1,1,-57
9,DC:A6:32:33:AC:6C,2020-06-30 13:01:33.058070,5248567e-baf3-11ea-b76d-dca63233ac6b,1,1,1,-54
10,DC:A6:32:33:AC:6C,2020-06-30 13:01:34.421105,5248567e-baf3-11ea-b76d-dca63233ac6b,1,1,1,-57
11,DC:A6:32:33:AC:6C,2020-06-30 13:01:35.378546,5248567e-baf3-11ea-b76d-dca63233ac6b,1,1,1,-55
12,DC:A6:32:33:AC:6C,2020-06-30 13:01:36.027263,5248567e-baf3-11ea-b76d-dca63233ac6b,1,1,1,-54
13,DC:A6:32:33:AC:6C,2020-06-30 13:01:37.010965,5248567e-baf3-11ea-b76d-dca63233ac6b,1,1,1,-56
