SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-07-05 12:21:23.032443,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-65
1,DC:A6:32:33:AC:6C,2020-07-05 12:21:24.371630,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-70
2,DC:A6:32:33:AC:6C,2020-07-05 12:21:25.044653,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-71
3,DC:A6:32:33:AC:6C,2020-07-05 12:21:26.236644,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-64
4,DC:A6:32:33:AC:6C,2020-07-05 12:21:27.059186,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-64
5,DC:A6:32:33:AC:6C,2020-07-05 12:21:28.608111,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-64
6,DC:A6:32:33:AC:6C,2020-07-05 12:21:29.031627,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-71
7,DC:A6:32:33:AC:6C,2020-07-05 12:21:31.010499,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-64
8,DC:A6:32:33:AC:6C,2020-07-05 12:21:32.083617,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-71
9,DC:A6:32:33:AC:6C,2020-07-05 12:21:33.294319,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-71
10,DC:A6:32:33:AC:6C,2020-07-05 12:21:34.354270,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-71
11,DC:A6:32:33:AC:6C,2020-07-05 12:21:35.279151,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-71
12,DC:A6:32:33:AC:6C,2020-07-05 12:21:36.136617,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-64
13,DC:A6:32:33:AC:6C,2020-07-05 12:21:37.480481,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-64
14,DC:A6:32:33:AC:6C,2020-07-05 12:21:38.212333,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-63
15,DC:A6:32:33:AC:6C,2020-07-05 12:21:39.247926,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-64
16,DC:A6:32:33:AC:6C,2020-07-05 12:21:40.349070,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-70
17,DC:A6:32:33:AC:6C,2020-07-05 12:21:41.159101,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-70
18,DC:A6:32:33:AC:6C,2020-07-05 12:21:42.075341,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-71
19,DC:A6:32:33:AC:6C,2020-07-05 12:21:43.356661,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-70
20,DC:A6:32:33:AC:6C,2020-07-05 12:21:44.086619,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-70
21,DC:A6:32:33:AC:6C,2020-07-05 12:21:45.003376,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-71
22,DC:A6:32:33:AC:6C,2020-07-05 12:21:46.037795,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-71
23,DC:A6:32:33:AC:6C,2020-07-05 12:21:47.417784,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-64
24,DC:A6:32:33:AC:6C,2020-07-05 12:21:48.204004,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-71
25,DC:A6:32:33:AC:6C,2020-07-05 12:21:49.053966,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-70
26,DC:A6:32:33:AC:6C,2020-07-05 12:21:50.449656,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-64
27,DC:A6:32:33:AC:6C,2020-07-05 12:21:51.620866,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-71
28,DC:A6:32:33:AC:6C,2020-07-05 12:21:52.080807,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-71
29,DC:A6:32:33:AC:6C,2020-07-05 12:21:53.851454,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-64
30,DC:A6:32:33:AC:6C,2020-07-05 12:21:54.013847,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-64
31,DC:A6:32:33:AC:6C,2020-07-05 12:21:55.090289,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-71
32,DC:A6:32:33:AC:6C,2020-07-05 12:21:56.365131,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-71
33,DC:A6:32:33:AC:6C,2020-07-05 12:21:57.095104,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-71
34,DC:A6:32:33:AC:6C,2020-07-05 12:21:58.015118,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-71
35,DC:A6:32:33:AC:6C,2020-07-05 12:21:59.061281,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-71
36,DC:A6:32:33:AC:6C,2020-07-05 12:22:00.068738,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-71
37,DC:A6:32:33:AC:6C,2020-07-05 12:22:01.174952,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-71
38,DC:A6:32:33:AC:6C,2020-07-05 12:22:02.028841,8f60b93e-bedb-11ea-a172-dca63233ac6b,1,1,1,-72
