SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-07-05 12:12:39.002968,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-66
1,DC:A6:32:33:AC:6C,2020-07-05 12:12:40.043281,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-65
2,DC:A6:32:33:AC:6C,2020-07-05 12:12:41.045691,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-67
3,DC:A6:32:33:AC:6C,2020-07-05 12:12:42.230762,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-65
4,DC:A6:32:33:AC:6C,2020-07-05 12:12:43.059453,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-67
5,DC:A6:32:33:AC:6C,2020-07-05 12:12:44.855110,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-67
6,DC:A6:32:33:AC:6C,2020-07-05 12:12:45.066240,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-64
7,DC:A6:32:33:AC:6C,2020-07-05 12:12:46.364567,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-67
8,DC:A6:32:33:AC:6C,2020-07-05 12:12:47.097035,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-67
9,DC:A6:32:33:AC:6C,2020-07-05 12:12:48.016965,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-68
10,DC:A6:32:33:AC:6C,2020-07-05 12:12:49.285760,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-68
11,DC:A6:32:33:AC:6C,2020-07-05 12:12:50.017023,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-66
12,DC:A6:32:33:AC:6C,2020-07-05 12:12:51.060752,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-67
13,DC:A6:32:33:AC:6C,2020-07-05 12:12:52.400895,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-66
14,DC:A6:32:33:AC:6C,2020-07-05 12:12:53.231436,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-67
15,DC:A6:32:33:AC:6C,2020-07-05 12:12:54.057114,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-68
16,DC:A6:32:33:AC:6C,2020-07-05 12:12:55.200877,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-69
17,DC:A6:32:33:AC:6C,2020-07-05 12:12:56.057125,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-65
18,DC:A6:32:33:AC:6C,2020-07-05 12:12:57.295958,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-67
19,DC:A6:32:33:AC:6C,2020-07-05 12:12:58.180931,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-68
20,DC:A6:32:33:AC:6C,2020-07-05 12:12:59.011481,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-66
21,DC:A6:32:33:AC:6C,2020-07-05 12:13:00.104653,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-65
22,DC:A6:32:33:AC:6C,2020-07-05 12:13:02.109849,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-66
23,DC:A6:32:33:AC:6C,2020-07-05 12:13:03.744845,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-68
24,DC:A6:32:33:AC:6C,2020-07-05 12:13:04.209745,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-68
25,DC:A6:32:33:AC:6C,2020-07-05 12:13:05.012838,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-68
26,DC:A6:32:33:AC:6C,2020-07-05 12:13:07.017395,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-67
27,DC:A6:32:33:AC:6C,2020-07-05 12:13:09.022395,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-64
28,DC:A6:32:33:AC:6C,2020-07-05 12:13:11.027369,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-65
29,DC:A6:32:33:AC:6C,2020-07-05 12:13:13.030010,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-64
30,DC:A6:32:33:AC:6C,2020-07-05 12:13:14.131192,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-64
31,DC:A6:32:33:AC:6C,2020-07-05 12:13:15.166173,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-68
32,DC:A6:32:33:AC:6C,2020-07-05 12:13:16.016167,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-64
33,DC:A6:32:33:AC:6C,2020-07-05 12:13:17.360030,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-64
34,DC:A6:32:33:AC:6C,2020-07-05 12:13:18.216167,571b9446-beda-11ea-9306-dca63233ac6b,1,1,1,-67
