SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-06-30 17:42:37.854742,9c2f4514-bb1a-11ea-8320-dca63233ac6b,1,1,237,-62
1,DC:A6:32:33:AC:6C,2020-06-30 17:42:38.007061,9c2f4514-bb1a-11ea-8320-dca63233ac6b,1,1,237,-62
2,DC:A6:32:33:AC:6C,2020-06-30 17:42:39.051190,9c2f4514-bb1a-11ea-8320-dca63233ac6b,1,1,237,-61
3,DC:A6:32:33:AC:6C,2020-06-30 17:42:41.056193,9c2f4514-bb1a-11ea-8320-dca63233ac6b,1,1,237,-61
4,DC:A6:32:33:AC:6C,2020-06-30 17:42:42.274896,9c2f4514-bb1a-11ea-8320-dca63233ac6b,1,1,237,-61
5,DC:A6:32:33:AC:6C,2020-06-30 17:42:43.098336,9c2f4514-bb1a-11ea-8320-dca63233ac6b,1,1,237,-60
6,DC:A6:32:33:AC:6C,2020-06-30 17:42:44.043691,9c2f4514-bb1a-11ea-8320-dca63233ac6b,1,1,237,-60
7,DC:A6:32:33:AC:6C,2020-06-30 17:42:46.048710,9c2f4514-bb1a-11ea-8320-dca63233ac6b,1,1,237,-61
8,DC:A6:32:33:AC:6C,2020-06-30 17:42:47.214891,9c2f4514-bb1a-11ea-8320-dca63233ac6b,1,1,237,-61
9,DC:A6:32:33:AC:6C,2020-06-30 17:42:48.071298,9c2f4514-bb1a-11ea-8320-dca63233ac6b,1,1,237,-61
10,DC:A6:32:33:AC:6C,2020-06-30 17:42:50.076268,9c2f4514-bb1a-11ea-8320-dca63233ac6b,1,1,237,-61
11,DC:A6:32:33:AC:6C,2020-06-30 17:42:52.081192,9c2f4514-bb1a-11ea-8320-dca63233ac6b,1,1,237,-60
12,DC:A6:32:33:AC:6C,2020-06-30 17:42:54.086352,9c2f4514-bb1a-11ea-8320-dca63233ac6b,1,1,237,-61
13,DC:A6:32:33:AC:6C,2020-06-30 17:42:55.452555,9c2f4514-bb1a-11ea-8320-dca63233ac6b,1,1,237,-61
14,DC:A6:32:33:AC:6C,2020-06-30 17:42:56.123682,9c2f4514-bb1a-11ea-8320-dca63233ac6b,1,1,237,-60
15,DC:A6:32:33:AC:6C,2020-06-30 17:42:57.063684,9c2f4514-bb1a-11ea-8320-dca63233ac6b,1,1,237,-60
16,DC:A6:32:33:AC:6C,2020-06-30 17:42:58.337672,9c2f4514-bb1a-11ea-8320-dca63233ac6b,1,1,237,-60
17,DC:A6:32:33:AC:6C,2020-06-30 17:42:59.106289,9c2f4514-bb1a-11ea-8320-dca63233ac6b,1,1,237,-61
18,DC:A6:32:33:AC:6C,2020-06-30 17:43:00.268801,9c2f4514-bb1a-11ea-8320-dca63233ac6b,1,1,237,-61
19,DC:A6:32:33:AC:6C,2020-06-30 17:43:01.096208,9c2f4514-bb1a-11ea-8320-dca63233ac6b,1,1,237,-61
20,DC:A6:32:33:AC:6C,2020-06-30 17:43:03.101386,9c2f4514-bb1a-11ea-8320-dca63233ac6b,1,1,237,-60
21,DC:A6:32:33:AC:6C,2020-06-30 17:43:04.048825,9c2f4514-bb1a-11ea-8320-dca63233ac6b,1,1,237,-61
22,DC:A6:32:33:AC:6C,2020-06-30 17:43:05.146342,9c2f4514-bb1a-11ea-8320-dca63233ac6b,1,1,237,-60
23,DC:A6:32:33:AC:6C,2020-06-30 17:43:06.053776,9c2f4514-bb1a-11ea-8320-dca63233ac6b,1,1,237,-60
24,DC:A6:32:33:AC:6C,2020-06-30 17:43:07.132039,9c2f4514-bb1a-11ea-8320-dca63233ac6b,1,1,237,-61
