SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-07-05 17:10:39.202244,f8f70efc-bf03-11ea-96fd-dca63233ac6b,1,1,1,-40
1,DC:A6:32:33:AC:6C,2020-07-05 17:10:40.081928,f8f70efc-bf03-11ea-96fd-dca63233ac6b,1,1,1,-41
2,DC:A6:32:33:AC:6C,2020-07-05 17:10:41.187509,f8f70efc-bf03-11ea-96fd-dca63233ac6b,1,1,1,-40
3,DC:A6:32:33:AC:6C,2020-07-05 17:10:42.011906,f8f70efc-bf03-11ea-96fd-dca63233ac6b,1,1,1,-40
4,DC:A6:32:33:AC:6C,2020-07-05 17:10:43.046838,f8f70efc-bf03-11ea-96fd-dca63233ac6b,1,1,1,-36
5,DC:A6:32:33:AC:6C,2020-07-05 17:10:44.066871,f8f70efc-bf03-11ea-96fd-dca63233ac6b,1,1,1,-36
6,DC:A6:32:33:AC:6C,2020-07-05 17:10:45.040731,f8f70efc-bf03-11ea-96fd-dca63233ac6b,1,1,1,-40
7,DC:A6:32:33:AC:6C,2020-07-05 17:10:46.014385,f8f70efc-bf03-11ea-96fd-dca63233ac6b,1,1,1,-40
8,DC:A6:32:33:AC:6C,2020-07-05 17:10:47.015318,f8f70efc-bf03-11ea-96fd-dca63233ac6b,1,1,1,-36
9,DC:A6:32:33:AC:6C,2020-07-05 17:10:48.261939,f8f70efc-bf03-11ea-96fd-dca63233ac6b,1,1,1,-41
10,DC:A6:32:33:AC:6C,2020-07-05 17:10:49.233569,f8f70efc-bf03-11ea-96fd-dca63233ac6b,1,1,1,-36
11,DC:A6:32:33:AC:6C,2020-07-05 17:10:50.039713,f8f70efc-bf03-11ea-96fd-dca63233ac6b,1,1,1,-40
12,DC:A6:32:33:AC:6C,2020-07-05 17:10:51.194603,f8f70efc-bf03-11ea-96fd-dca63233ac6b,1,1,1,-41
13,DC:A6:32:33:AC:6C,2020-07-05 17:10:52.022114,f8f70efc-bf03-11ea-96fd-dca63233ac6b,1,1,1,-40
14,DC:A6:32:33:AC:6C,2020-07-05 17:10:53.183404,f8f70efc-bf03-11ea-96fd-dca63233ac6b,1,1,1,-36
