SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-07-19 16:20:21.533771,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-66
1,DC:A6:32:33:AC:6C,2020-07-19 16:20:22.038256,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-69
2,DC:A6:32:33:AC:6C,2020-07-19 16:20:23.078500,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-75
3,DC:A6:32:33:AC:6C,2020-07-19 16:20:24.470966,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-64
4,DC:A6:32:33:AC:6C,2020-07-19 16:20:26.408491,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-62
5,DC:A6:32:33:AC:6C,2020-07-19 16:20:28.284697,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-50
6,DC:A6:32:33:AC:6C,2020-07-19 16:20:29.090892,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-60
7,DC:A6:32:33:AC:6C,2020-07-19 16:20:31.095926,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-65
8,DC:A6:32:33:AC:6C,2020-07-19 16:20:32.197185,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-65
9,DC:A6:32:33:AC:6C,2020-07-19 16:20:33.297072,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-65
10,DC:A6:32:33:AC:6C,2020-07-19 16:20:34.943399,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-60
11,DC:A6:32:33:AC:6C,2020-07-19 16:20:35.013257,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-61
12,DC:A6:32:33:AC:6C,2020-07-19 16:20:36.183280,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-56
13,DC:A6:32:33:AC:6C,2020-07-19 16:20:37.525259,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-58
14,DC:A6:32:33:AC:6C,2020-07-19 16:20:38.240812,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-57
15,DC:A6:32:33:AC:6C,2020-07-19 16:20:39.220118,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-56
16,DC:A6:32:33:AC:6C,2020-07-19 16:20:40.198282,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-57
17,DC:A6:32:33:AC:6C,2020-07-19 16:20:41.041477,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-57
18,DC:A6:32:33:AC:6C,2020-07-19 16:20:42.110885,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-53
19,DC:A6:32:33:AC:6C,2020-07-19 16:20:43.205807,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-53
20,DC:A6:32:33:AC:6C,2020-07-19 16:20:44.084617,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-54
21,DC:A6:32:33:AC:6C,2020-07-19 16:20:45.027103,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-60
22,DC:A6:32:33:AC:6C,2020-07-19 16:20:46.279625,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-54
23,DC:A6:32:33:AC:6C,2020-07-19 16:20:47.080863,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-54
24,DC:A6:32:33:AC:6C,2020-07-19 16:20:48.125765,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-55
25,DC:A6:32:33:AC:6C,2020-07-19 16:20:49.408311,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-55
26,DC:A6:32:33:AC:6C,2020-07-19 16:20:50.095680,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-50
27,DC:A6:32:33:AC:6C,2020-07-19 16:20:51.010813,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-54
28,DC:A6:32:33:AC:6C,2020-07-19 16:20:52.149613,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-54
29,DC:A6:32:33:AC:6C,2020-07-19 16:20:53.130796,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-54
30,DC:A6:32:33:AC:6C,2020-07-19 16:20:54.045768,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-50
31,DC:A6:32:33:AC:6C,2020-07-19 16:20:55.018345,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-51
32,DC:A6:32:33:AC:6C,2020-07-19 16:20:56.180832,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-53
33,DC:A6:32:33:AC:6C,2020-07-19 16:20:57.485837,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-53
34,DC:A6:32:33:AC:6C,2020-07-19 16:20:58.068271,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-52
35,DC:A6:32:33:AC:6C,2020-07-19 16:20:59.285783,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-53
36,DC:A6:32:33:AC:6C,2020-07-19 16:21:00.010812,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-54
37,DC:A6:32:33:AC:6C,2020-07-19 16:21:01.106833,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-53
38,DC:A6:32:33:AC:6C,2020-07-19 16:21:02.032092,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-50
39,DC:A6:32:33:AC:6C,2020-07-19 16:21:03.548320,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-57
40,DC:A6:32:33:AC:6C,2020-07-19 16:21:04.050759,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-52
41,DC:A6:32:33:AC:6C,2020-07-19 16:21:05.511455,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-49
42,DC:A6:32:33:AC:6C,2020-07-19 16:21:06.050701,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-49
43,DC:A6:32:33:AC:6C,2020-07-19 16:21:07.162063,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-49
44,DC:A6:32:33:AC:6C,2020-07-19 16:21:09.167124,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-53
45,DC:A6:32:33:AC:6C,2020-07-19 16:21:10.203953,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-61
46,DC:A6:32:33:AC:6C,2020-07-19 16:21:11.219589,44095b62-c9fd-11ea-987c-dca63233ac6b,1,1,1,-59
