SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-07-15 23:03:10.510076,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-59
1,DC:A6:32:33:AC:6C,2020-07-15 23:03:11.155451,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-64
2,DC:A6:32:33:AC:6C,2020-07-15 23:03:12.164252,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-62
3,DC:A6:32:33:AC:6C,2020-07-15 23:03:13.201791,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-70
4,DC:A6:32:33:AC:6C,2020-07-15 23:03:14.004364,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-48
5,DC:A6:32:33:AC:6C,2020-07-15 23:03:15.129409,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-53
6,DC:A6:32:33:AC:6C,2020-07-15 23:03:16.105232,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-50
7,DC:A6:32:33:AC:6C,2020-07-15 23:03:17.470601,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-53
8,DC:A6:32:33:AC:6C,2020-07-15 23:03:18.055569,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-55
9,DC:A6:32:33:AC:6C,2020-07-15 23:03:19.120520,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-54
10,DC:A6:32:33:AC:6C,2020-07-15 23:03:20.764414,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-45
11,DC:A6:32:33:AC:6C,2020-07-15 23:03:21.153121,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-56
12,DC:A6:32:33:AC:6C,2020-07-15 23:03:23.158317,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-67
13,DC:A6:32:33:AC:6C,2020-07-15 23:03:24.555721,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-53
14,DC:A6:32:33:AC:6C,2020-07-15 23:03:25.060674,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-52
15,DC:A6:32:33:AC:6C,2020-07-15 23:03:26.555952,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-50
16,DC:A6:32:33:AC:6C,2020-07-15 23:03:27.573445,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-53
17,DC:A6:32:33:AC:6C,2020-07-15 23:03:29.329556,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-50
18,DC:A6:32:33:AC:6C,2020-07-15 23:03:30.227603,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-54
19,DC:A6:32:33:AC:6C,2020-07-15 23:03:31.813496,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-53
20,DC:A6:32:33:AC:6C,2020-07-15 23:03:32.032046,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-51
21,DC:A6:32:33:AC:6C,2020-07-15 23:03:33.136581,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-54
22,DC:A6:32:33:AC:6C,2020-07-15 23:03:34.054669,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-52
23,DC:A6:32:33:AC:6C,2020-07-15 23:03:35.153421,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-58
24,DC:A6:32:33:AC:6C,2020-07-15 23:03:36.612116,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-50
25,DC:A6:32:33:AC:6C,2020-07-15 23:03:37.192118,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-60
26,DC:A6:32:33:AC:6C,2020-07-15 23:03:38.235889,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-51
27,DC:A6:32:33:AC:6C,2020-07-15 23:03:39.476446,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-58
28,DC:A6:32:33:AC:6C,2020-07-15 23:03:40.092097,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-57
29,DC:A6:32:33:AC:6C,2020-07-15 23:03:42.093658,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-58
30,DC:A6:32:33:AC:6C,2020-07-15 23:03:43.853640,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-46
31,DC:A6:32:33:AC:6C,2020-07-15 23:03:44.015947,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-54
32,DC:A6:32:33:AC:6C,2020-07-15 23:03:45.232302,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-62
33,DC:A6:32:33:AC:6C,2020-07-15 23:03:46.175700,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-62
34,DC:A6:32:33:AC:6C,2020-07-15 23:03:47.091144,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-62
35,DC:A6:32:33:AC:6C,2020-07-15 23:03:48.303704,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-52
36,DC:A6:32:33:AC:6C,2020-07-15 23:03:49.341118,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-52
37,DC:A6:32:33:AC:6C,2020-07-15 23:03:50.053683,e01c766e-c710-11ea-9188-dca63233ac6b,1,1,1,-63
