SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-07-19 16:48:04.725308,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-54
1,DC:A6:32:33:AC:6C,2020-07-19 16:48:05.140498,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-59
2,DC:A6:32:33:AC:6C,2020-07-19 16:48:06.229014,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-54
3,DC:A6:32:33:AC:6C,2020-07-19 16:48:07.138956,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-53
4,DC:A6:32:33:AC:6C,2020-07-19 16:48:08.168966,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-54
5,DC:A6:32:33:AC:6C,2020-07-19 16:48:10.173712,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-58
6,DC:A6:32:33:AC:6C,2020-07-19 16:48:11.427976,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-57
7,DC:A6:32:33:AC:6C,2020-07-19 16:48:12.464016,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-55
8,DC:A6:32:33:AC:6C,2020-07-19 16:48:13.243990,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-56
9,DC:A6:32:33:AC:6C,2020-07-19 16:48:14.081567,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-58
10,DC:A6:32:33:AC:6C,2020-07-19 16:48:15.292985,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-54
11,DC:A6:32:33:AC:6C,2020-07-19 16:48:16.149157,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-60
12,DC:A6:32:33:AC:6C,2020-07-19 16:48:17.632887,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-55
13,DC:A6:32:33:AC:6C,2020-07-19 16:48:18.022812,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-54
14,DC:A6:32:33:AC:6C,2020-07-19 16:48:20.027588,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-57
15,DC:A6:32:33:AC:6C,2020-07-19 16:48:22.033011,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-54
16,DC:A6:32:33:AC:6C,2020-07-19 16:48:24.038109,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-61
17,DC:A6:32:33:AC:6C,2020-07-19 16:48:26.013107,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-59
18,DC:A6:32:33:AC:6C,2020-07-19 16:48:27.461802,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-59
19,DC:A6:32:33:AC:6C,2020-07-19 16:48:28.191739,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-61
20,DC:A6:32:33:AC:6C,2020-07-19 16:48:29.104355,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-61
21,DC:A6:32:33:AC:6C,2020-07-19 16:48:30.774435,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-60
22,DC:A6:32:33:AC:6C,2020-07-19 16:48:31.034960,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-60
23,DC:A6:32:33:AC:6C,2020-07-19 16:48:32.128149,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-56
24,DC:A6:32:33:AC:6C,2020-07-19 16:48:33.192921,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-59
25,DC:A6:32:33:AC:6C,2020-07-19 16:48:34.513152,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-63
26,DC:A6:32:33:AC:6C,2020-07-19 16:48:35.171572,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-72
27,DC:A6:32:33:AC:6C,2020-07-19 16:48:37.177047,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-62
28,DC:A6:32:33:AC:6C,2020-07-19 16:48:38.815702,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-55
29,DC:A6:32:33:AC:6C,2020-07-19 16:48:39.019466,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-62
30,DC:A6:32:33:AC:6C,2020-07-19 16:48:40.619586,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-59
31,DC:A6:32:33:AC:6C,2020-07-19 16:48:41.185111,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-59
32,DC:A6:32:33:AC:6C,2020-07-19 16:48:42.433462,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-59
33,DC:A6:32:33:AC:6C,2020-07-19 16:48:43.010744,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-52
34,DC:A6:32:33:AC:6C,2020-07-19 16:48:45.000717,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-58
35,DC:A6:32:33:AC:6C,2020-07-19 16:48:47.005921,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-66
36,DC:A6:32:33:AC:6C,2020-07-19 16:48:48.228087,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-61
37,DC:A6:32:33:AC:6C,2020-07-19 16:48:49.012149,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-61
38,DC:A6:32:33:AC:6C,2020-07-19 16:48:50.742231,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-60
39,DC:A6:32:33:AC:6C,2020-07-19 16:48:51.094590,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-65
40,DC:A6:32:33:AC:6C,2020-07-19 16:48:53.099659,23217110-ca01-11ea-8817-dca63233ac6b,1,1,1,-60
