SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-07-16 22:37:27.336758,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-75
1,DC:A6:32:33:AC:6C,2020-07-16 22:37:28.066643,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-87
2,DC:A6:32:33:AC:6C,2020-07-16 22:37:29.579219,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-87
3,DC:A6:32:33:AC:6C,2020-07-16 22:37:30.411560,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-86
4,DC:A6:32:33:AC:6C,2020-07-16 22:37:31.334077,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-83
5,DC:A6:32:33:AC:6C,2020-07-16 22:37:32.005319,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-90
6,DC:A6:32:33:AC:6C,2020-07-16 22:37:33.059490,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-80
7,DC:A6:32:33:AC:6C,2020-07-16 22:37:34.315475,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-79
8,DC:A6:32:33:AC:6C,2020-07-16 22:37:35.074325,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-81
9,DC:A6:32:33:AC:6C,2020-07-16 22:37:36.049952,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-79
10,DC:A6:32:33:AC:6C,2020-07-16 22:37:37.234355,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-80
11,DC:A6:32:33:AC:6C,2020-07-16 22:37:38.175734,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-82
12,DC:A6:32:33:AC:6C,2020-07-16 22:37:39.626996,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-81
13,DC:A6:32:33:AC:6C,2020-07-16 22:37:40.149513,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-79
14,DC:A6:32:33:AC:6C,2020-07-16 22:37:41.188271,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-79
15,DC:A6:32:33:AC:6C,2020-07-16 22:37:42.204532,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-78
16,DC:A6:32:33:AC:6C,2020-07-16 22:37:43.020511,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-81
17,DC:A6:32:33:AC:6C,2020-07-16 22:37:44.031444,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-76
18,DC:A6:32:33:AC:6C,2020-07-16 22:37:45.170323,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-88
19,DC:A6:32:33:AC:6C,2020-07-16 22:37:46.520286,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-87
20,DC:A6:32:33:AC:6C,2020-07-16 22:37:47.200281,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-81
21,DC:A6:32:33:AC:6C,2020-07-16 22:37:48.156139,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-77
22,DC:A6:32:33:AC:6C,2020-07-16 22:37:49.247387,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-79
23,DC:A6:32:33:AC:6C,2020-07-16 22:37:50.254892,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-79
24,DC:A6:32:33:AC:6C,2020-07-16 22:37:51.319823,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-75
25,DC:A6:32:33:AC:6C,2020-07-16 22:37:52.009867,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-80
26,DC:A6:32:33:AC:6C,2020-07-16 22:37:53.410079,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-74
27,DC:A6:32:33:AC:6C,2020-07-16 22:37:54.340076,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-78
28,DC:A6:32:33:AC:6C,2020-07-16 22:37:55.103870,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-75
29,DC:A6:32:33:AC:6C,2020-07-16 22:37:56.311437,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-78
30,DC:A6:32:33:AC:6C,2020-07-16 22:37:57.087587,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-76
31,DC:A6:32:33:AC:6C,2020-07-16 22:37:58.003582,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-76
32,DC:A6:32:33:AC:6C,2020-07-16 22:37:59.030166,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-79
33,DC:A6:32:33:AC:6C,2020-07-16 22:38:00.660338,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-83
34,DC:A6:32:33:AC:6C,2020-07-16 22:38:01.049196,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-78
35,DC:A6:32:33:AC:6C,2020-07-16 22:38:02.400371,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-82
36,DC:A6:32:33:AC:6C,2020-07-16 22:38:03.374063,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-78
37,DC:A6:32:33:AC:6C,2020-07-16 22:38:04.178014,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-84
38,DC:A6:32:33:AC:6C,2020-07-16 22:38:05.098140,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-78
39,DC:A6:32:33:AC:6C,2020-07-16 22:38:06.019352,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-81
40,DC:A6:32:33:AC:6C,2020-07-16 22:38:07.161967,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-76
41,DC:A6:32:33:AC:6C,2020-07-16 22:38:08.208023,7117d59e-c7d6-11ea-82c3-dca63233ac6b,1,1,1,-77
