SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-07-19 15:20:54.105971,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-73
1,DC:A6:32:33:AC:6C,2020-07-19 15:20:55.103922,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-62
2,DC:A6:32:33:AC:6C,2020-07-19 15:20:56.510034,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-71
3,DC:A6:32:33:AC:6C,2020-07-19 15:20:57.013696,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-76
4,DC:A6:32:33:AC:6C,2020-07-19 15:20:59.018902,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-76
5,DC:A6:32:33:AC:6C,2020-07-19 15:21:01.023942,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-71
6,DC:A6:32:33:AC:6C,2020-07-19 15:21:02.011358,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-73
7,DC:A6:32:33:AC:6C,2020-07-19 15:21:03.650106,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-61
8,DC:A6:32:33:AC:6C,2020-07-19 15:21:04.073759,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-72
9,DC:A6:32:33:AC:6C,2020-07-19 15:21:05.631274,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-75
10,DC:A6:32:33:AC:6C,2020-07-19 15:21:06.150538,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-74
11,DC:A6:32:33:AC:6C,2020-07-19 15:21:08.156345,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-62
12,DC:A6:32:33:AC:6C,2020-07-19 15:21:09.110074,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-63
13,DC:A6:32:33:AC:6C,2020-07-19 15:21:11.115018,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-72
14,DC:A6:32:33:AC:6C,2020-07-19 15:21:12.823762,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-71
15,DC:A6:32:33:AC:6C,2020-07-19 15:21:13.025550,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-71
16,DC:A6:32:33:AC:6C,2020-07-19 15:21:14.131290,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-71
17,DC:A6:32:33:AC:6C,2020-07-19 15:21:15.645070,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-62
18,DC:A6:32:33:AC:6C,2020-07-19 15:21:16.023696,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-74
19,DC:A6:32:33:AC:6C,2020-07-19 15:21:17.009943,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-63
20,DC:A6:32:33:AC:6C,2020-07-19 15:21:18.223779,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-74
21,DC:A6:32:33:AC:6C,2020-07-19 15:21:20.228856,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-73
22,DC:A6:32:33:AC:6C,2020-07-19 15:21:21.242597,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-62
23,DC:A6:32:33:AC:6C,2020-07-19 15:21:22.006852,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-71
24,DC:A6:32:33:AC:6C,2020-07-19 15:21:23.259453,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-63
25,DC:A6:32:33:AC:6C,2020-07-19 15:21:24.360116,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-70
26,DC:A6:32:33:AC:6C,2020-07-19 15:21:25.670107,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-60
27,DC:A6:32:33:AC:6C,2020-07-19 15:21:26.403868,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-72
28,DC:A6:32:33:AC:6C,2020-07-19 15:21:27.718789,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-71
29,DC:A6:32:33:AC:6C,2020-07-19 15:21:28.250040,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-75
30,DC:A6:32:33:AC:6C,2020-07-19 15:21:29.110108,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-74
31,DC:A6:32:33:AC:6C,2020-07-19 15:21:30.030627,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-72
32,DC:A6:32:33:AC:6C,2020-07-19 15:21:31.671411,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-61
33,DC:A6:32:33:AC:6C,2020-07-19 15:21:32.073801,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-61
34,DC:A6:32:33:AC:6C,2020-07-19 15:21:34.078917,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-73
35,DC:A6:32:33:AC:6C,2020-07-19 15:21:35.332632,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-71
36,DC:A6:32:33:AC:6C,2020-07-19 15:21:36.431356,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-70
37,DC:A6:32:33:AC:6C,2020-07-19 15:21:37.891508,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-62
38,DC:A6:32:33:AC:6C,2020-07-19 15:21:38.021408,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-63
39,DC:A6:32:33:AC:6C,2020-07-19 15:21:39.030203,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-71
40,DC:A6:32:33:AC:6C,2020-07-19 15:21:40.632763,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-61
41,DC:A6:32:33:AC:6C,2020-07-19 15:21:41.723991,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-72
42,DC:A6:32:33:AC:6C,2020-07-19 15:21:42.105168,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-70
43,DC:A6:32:33:AC:6C,2020-07-19 15:21:43.352870,f5a9c202-c9f4-11ea-8303-dca63233ac6b,1,1,1,-72
