SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-07-19 15:33:53.924033,c671be02-c9f6-11ea-b24b-dca63233ac6b,1,1,1,-62
1,DC:A6:32:33:AC:6C,2020-07-19 15:33:54.109689,c671be02-c9f6-11ea-b24b-dca63233ac6b,1,1,1,-73
2,DC:A6:32:33:AC:6C,2020-07-19 15:33:55.230090,c671be02-c9f6-11ea-b24b-dca63233ac6b,1,1,1,-61
3,DC:A6:32:33:AC:6C,2020-07-19 15:33:56.242597,c671be02-c9f6-11ea-b24b-dca63233ac6b,1,1,1,-61
4,DC:A6:32:33:AC:6C,2020-07-19 15:33:57.100051,c671be02-c9f6-11ea-b24b-dca63233ac6b,1,1,1,-61
5,DC:A6:32:33:AC:6C,2020-07-19 15:33:58.081355,c671be02-c9f6-11ea-b24b-dca63233ac6b,1,1,1,-62
6,DC:A6:32:33:AC:6C,2020-07-19 15:34:00.086438,c671be02-c9f6-11ea-b24b-dca63233ac6b,1,1,1,-60
7,DC:A6:32:33:AC:6C,2020-07-19 15:34:01.371421,c671be02-c9f6-11ea-b24b-dca63233ac6b,1,1,1,-74
8,DC:A6:32:33:AC:6C,2020-07-19 15:34:02.471328,c671be02-c9f6-11ea-b24b-dca63233ac6b,1,1,1,-74
9,DC:A6:32:33:AC:6C,2020-07-19 15:34:03.018789,c671be02-c9f6-11ea-b24b-dca63233ac6b,1,1,1,-74
10,DC:A6:32:33:AC:6C,2020-07-19 15:34:05.103816,c671be02-c9f6-11ea-b24b-dca63233ac6b,1,1,1,-76
11,DC:A6:32:33:AC:6C,2020-07-19 15:34:06.320335,c671be02-c9f6-11ea-b24b-dca63233ac6b,1,1,1,-73
12,DC:A6:32:33:AC:6C,2020-07-19 15:34:07.101481,c671be02-c9f6-11ea-b24b-dca63233ac6b,1,1,1,-76
13,DC:A6:32:33:AC:6C,2020-07-19 15:34:08.861453,c671be02-c9f6-11ea-b24b-dca63233ac6b,1,1,1,-61
