SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AC:6C,2020-07-19 15:37:27.151211,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-72
1,DC:A6:32:33:AC:6C,2020-07-19 15:37:29.155566,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-73
2,DC:A6:32:33:AC:6C,2020-07-19 15:37:30.033560,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-77
3,DC:A6:32:33:AC:6C,2020-07-19 15:37:31.309252,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-70
4,DC:A6:32:33:AC:6C,2020-07-19 15:37:33.314360,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-61
5,DC:A6:32:33:AC:6C,2020-07-19 15:37:34.215522,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-72
6,DC:A6:32:33:AC:6C,2020-07-19 15:37:36.011134,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-73
7,DC:A6:32:33:AC:6C,2020-07-19 15:37:38.016922,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-72
8,DC:A6:32:33:AC:6C,2020-07-19 15:37:39.364399,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-75
9,DC:A6:32:33:AC:6C,2020-07-19 15:37:40.648050,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-61
10,DC:A6:32:33:AC:6C,2020-07-19 15:37:41.007989,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-74
11,DC:A6:32:33:AC:6C,2020-07-19 15:37:42.165819,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-72
12,DC:A6:32:33:AC:6C,2020-07-19 15:37:43.025731,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-75
13,DC:A6:32:33:AC:6C,2020-07-19 15:37:44.124461,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-62
14,DC:A6:32:33:AC:6C,2020-07-19 15:37:45.085680,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-77
15,DC:A6:32:33:AC:6C,2020-07-19 15:37:46.838207,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-72
16,DC:A6:32:33:AC:6C,2020-07-19 15:37:47.016830,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-76
17,DC:A6:32:33:AC:6C,2020-07-19 15:37:48.084515,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-62
18,DC:A6:32:33:AC:6C,2020-07-19 15:37:49.158179,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-76
19,DC:A6:32:33:AC:6C,2020-07-19 15:37:51.163301,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-75
20,DC:A6:32:33:AC:6C,2020-07-19 15:37:53.168358,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-72
21,DC:A6:32:33:AC:6C,2020-07-19 15:37:54.066993,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-62
22,DC:A6:32:33:AC:6C,2020-07-19 15:37:56.072235,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-62
23,DC:A6:32:33:AC:6C,2020-07-19 15:37:57.354405,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-61
24,DC:A6:32:33:AC:6C,2020-07-19 15:37:59.359718,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-74
25,DC:A6:32:33:AC:6C,2020-07-19 15:38:00.283366,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-62
26,DC:A6:32:33:AC:6C,2020-07-19 15:38:01.055953,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-74
27,DC:A6:32:33:AC:6C,2020-07-19 15:38:03.061064,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-62
28,DC:A6:32:33:AC:6C,2020-07-19 15:38:04.042197,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-62
29,DC:A6:32:33:AC:6C,2020-07-19 15:38:05.143550,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-75
30,DC:A6:32:33:AC:6C,2020-07-19 15:38:06.782346,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-62
31,DC:A6:32:33:AC:6C,2020-07-19 15:38:07.017188,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-72
32,DC:A6:32:33:AC:6C,2020-07-19 15:38:08.064872,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-72
33,DC:A6:32:33:AC:6C,2020-07-19 15:38:09.162368,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-76
34,DC:A6:32:33:AC:6C,2020-07-19 15:38:10.173562,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-73
35,DC:A6:32:33:AC:6C,2020-07-19 15:38:11.094915,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-71
36,DC:A6:32:33:AC:6C,2020-07-19 15:38:12.373505,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-61
37,DC:A6:32:33:AC:6C,2020-07-19 15:38:13.113852,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-75
38,DC:A6:32:33:AC:6C,2020-07-19 15:38:15.118834,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-74
39,DC:A6:32:33:AC:6C,2020-07-19 15:38:16.042567,4580e54c-c9f7-11ea-82cd-dca63233ac6b,1,1,1,-61
